instance,rule_preelon,GPT category preelon,rule_postelon2023,GPT category postelon2023,rule_postelon2024,GPT category postelon2024
martianbase.net,"['Follow the laws of the Martian Congressional Republic', 'Be a responsible citizen of the Red Planet', 'No discrimination, Earthers and Belters are welcome too!']","{'Not Applicable': 1, 'A: Not Applicable': 1, 'Hate Speech': 1}",[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1}
mastodon.art,"[""No posting other artist's work without credit AND analysis/opinion ."", 'Posting the same content on multiple instances in order to spam local and/or federated timelines is not permitted.', ""Respect other users' boundaries."", 'Tag sensitive content such as violence/blood, NSFW content, and other potentially upsetting or triggering topics, AND hide them under a Content Warning (CW).', 'No trolling, microaggressions, or harassment. See the Code of Conduct for the full list.', 'No unapproved bots, advertising, or spam (this does *not* mean your shop links and commission pages! Please share those often!).', 'No racism, sexism, discrimination against gender and sexual minorities, ableism, fatmisia, xenophobia and/or violent nationalism, or the advocation of all of the above.', 'No content that includes sexual depictions of minors (this includes loli), content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism, conduct promoting the ideology of National Socialism.', '•ART has a zero-tolerance mandate for harassment or bullying — your account will be immediately suspended.', 'Conduct intended to stalk or harass users, impede users from using the service, degrade the performance of the service, or incite others to perform any of the aforementioned actions, is disallowed.', 'No NFT content. None at all. There are crypto-related instances on the fediverse that would be more suitable.', 'AI art only allowed if tagged with #AIArt and with the conditions stipulated under the Code of Conduct', 'No flooding the public timelines (making lots of public posts in quick succession).']","{'A: Copyright/Piracy, Links & Outside Content': 1, 'Reposting/Crossposting, Spam': 1, 'A: Harassment': 1, 'A: NSFW, Content Warnings': 1, 'Harassment, Trolling': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Hate Speech, Incitement of Violence': 1, 'Illegal Content, Hate Speech': 1, 'Harassment': 1, 'A: Harassment, Automated tools': 1, 'Off-topic/topic specific': 1, 'Off-topic/topic specific, Links & Outside Content': 1, 'Spam': 1}","[""No posting other artist's work without credit AND analysis/opinion ."", 'Posting the same content on multiple instances in order to spam local and/or federated timelines is not permitted.', ""Respect other users' boundaries."", 'Tag sensitive content such as violence/blood, NSFW content, and other potentially upsetting or triggering topics, AND hide them under a Content Warning (CW).', 'No trolling, microaggressions, or harassment. See the Code of Conduct for the full list.', 'No unapproved bots, advertising, or spam (this does *not* mean your shop links and commission pages! Please share those often!).', 'No racism, sexism, discrimination against gender and sexual minorities, ableism, fatmisia, xenophobia and/or violent nationalism, or the advocation of all of the above.', 'No content that includes sexual depictions of minors (this includes loli), content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism, conduct promoting the ideology of National Socialism.', '•ART has a zero-tolerance mandate for harassment or bullying — your account will be immediately suspended.', 'Conduct intended to stalk or harass users, impede users from using the service, degrade the performance of the service, or incite others to perform any of the aforementioned actions, is disallowed.', 'No NFT content. None at all. There are crypto-related instances on the fediverse that would be more suitable.', 'AI art only allowed if tagged with #AIArt and with the conditions stipulated under the Code of Conduct', 'No flooding the public timelines (making lots of public posts in quick succession).']","{'Harassment': 3, 'A: Copyright/Piracy, Links & Outside Content': 1, 'Reposting/Crossposting, Spam': 1, 'A: NSFW, Content Warnings': 1, 'Harassment, Trolling': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Hate Speech, Incitement of Violence': 1, 'Illegal Content, Hate Speech': 1, 'Off-topic/topic specific': 1, 'Off-topic/topic specific, Automated tools': 1, 'Spam': 1}","[""No posting other artist's work without credit AND analysis/opinion ."", ""Respect other users' boundaries."", 'Tag sensitive content such as violence/blood, graphic nudity, lewd content, and other potentially upsetting or triggering topics, AND hide them under a Content Warning (CW).', 'No trolling, microaggressions, bullying, or harassment. See the Code of Conduct for the full list.', 'No unapproved bots, corporate advertising, or spam (this does *not* mean your shop links and commission pages! Please share those often!).', 'No racism, sexism, discrimination against gender and sexual minorities, ableism, fatmisia, xenophobia and/or violent nationalism, or the advocation of all of the above.', 'No content that includes sexual depictions of minors (this includes loli), content illegal in Germany and/or France, such as holocaust denial or Nazi symbolism, conduct promoting the ideology of National Socialism.', 'Conduct intended to stalk or harass users, impede users from using the service, degrade the performance of the service, or incite others to perform any of the aforementioned actions, is disallowed.', 'No NFT content. None at all. There are crypto-related instances on the fediverse that would be more suitable.', 'No AI-generated imagery allowed at all', 'No flooding the public timelines (making lots of public posts in quick succession).']","{'Harassment': 2, 'A: Copyright/Piracy, Links & Outside Content': 1, 'A: Content Warnings, NSFW': 1, 'Harassment, Trolling': 1, 'Advertising & Commercialization, Spam, Automated tools': 1, 'Hate Speech, Incitement of Violence': 1, 'Illegal Content, Hate Speech': 1, 'Off-topic/topic specific': 1, 'Images, Automated tools': 1, 'Spam': 1}"
mastodon.coffee,"['Sexually explicit or violent media must be marked as sensitive when posting.', 'No spam or advertising.', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'Drink coffee! (not required)']","{'Images': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Not Applicable': 1}","['Sexually explicit or violent media must be marked as sensitive when posting.', 'No spam or advertising.', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'Drink coffee! (not required)']","{'Images': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Not Applicable': 1}","['Sexually explicit or violent media must be marked as sensitive when posting.', 'No spam or advertising.', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'Drink coffee! (not required)']","{'Images': 1, 'Advertising & Commercialization, Spam': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Not Applicable': 1}"
mastodon.com.pl,"['(EN): No threats, harassment, racism, homophobia, sexism, and incitement to hatred towards individuals or groups. (PL): Niedozwolone są groźby, znęcanie się, rasizm, homofobia, seksizm oraz nawoływanie do nienawiści wobec jednostek oraz grup.', '(EN): No illegal content e.g. child pornography, pornography, frauds, illegal services etc.\r\n(PL): Niedozwolony jest content zabroniony prawnie np. dziecięca pornografia, pornografia, oszustwa, nielegalne usługi itp.', '(EN): No posting malicious links.\r\n(PL): Niedozwolone jest publikowanie złośliwych linków.', '(EN): No hate speech.\r\n(PL): Niedozwolona jest mowa nienawiści.', '(EN): NSFW content should be marked with a Content Warning. \r\n(PL): Treść NSFW piowinna być oznaczona ostrzeżeniem o zawartości.', '(EN): No spamming or explicit advertising allowed without proper introduction and/or other activity.\r\n(PL): Niedozwolone generowanie spamu ani jawnej reklamy bez odpowiedniego wprowadzenia i/lub innej aktywności.', '(EN): Comments should be related to the topics appearing within the thematic threads. (PL): Wypowiedzi powinny być związane z treściami pojawiającymi się w ramach wątków tematycznych.', '(EN): No insults based on their gender, sexual orientation, nationality, ethnicity, race, religion, or lack thereof. (PL): Niedozwolone jest znieważanie Użytkowników z powodu ich przynależności płciowej, seksualnej, narodowej, etnicznej, rasowej, wyznaniowej, albo z powodu jej bezwyznaniowości.', '(EN): No chauvinistic, misogynistic nature, as well as content displaying signs of gender discrimination. (PL): Niedozwolone są treści o charakterze szowinistycznym i mizoginistycznym, jak również noszące znamiona dyskryminacji płciowej.', '(EN): No content violating the personal rights of any third party. (PL): Zabrania się zamieszczania treści naruszających dobra osobiste osób trzecich.', '(EN): No content inciting dangerous behavior or praising such behaviord. (PL): Niedozwolone są treści nawołujące do zachowań niebezpiecznych, lub pochwalają takie zachowania.', ""(EN): Upon creating an account, it is required to introduce oneself using the hashtag #introduction in one's post. (PL): Po utworzeniu konta, wymagane jest przedstawienie się z wykorzystaniem hasztagu #introduction w swoim toot'cie.""]","{'Hate Speech': 3, 'Off-topic/topic specific': 2, 'Hate Speech, Harassment, Incitement of Violence': 1, 'Illegal Content, NSFW': 1, 'Links & Outside Content': 1, 'NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam': 1, 'Doxxing/Personal Info, Harassment': 1, 'Incitement of Violence': 1}","['(EN): No threats, harassment, racism, homophobia, sexism, and incitement to hatred towards individuals or groups. (PL): Niedozwolone są groźby, znęcanie się, rasizm, homofobia, seksizm oraz nawoływanie do nienawiści wobec jednostek oraz grup.', '(EN): No illegal content e.g. child pornography, pornography, frauds, illegal services etc.\r\n(PL): Niedozwolony jest content zabroniony prawnie np. dziecięca pornografia, pornografia, oszustwa, nielegalne usługi itp.', '(EN): No posting malicious links.\r\n(PL): Niedozwolone jest publikowanie złośliwych linków.', '(EN): No hate speech.\r\n(PL): Niedozwolona jest mowa nienawiści.', '(EN): NSFW content should be marked with a Content Warning. \r\n(PL): Treść NSFW piowinna być oznaczona ostrzeżeniem o zawartości.', '(EN): No spamming or explicit advertising allowed without proper introduction and/or other activity.\r\n(PL): Niedozwolone generowanie spamu ani jawnej reklamy bez odpowiedniego wprowadzenia i/lub innej aktywności.', '(EN): Comments should be related to the topics appearing within the thematic threads. (PL): Wypowiedzi powinny być związane z treściami pojawiającymi się w ramach wątków tematycznych.', '(EN): No insults based on their gender, sexual orientation, nationality, ethnicity, race, religion, or lack thereof. (PL): Niedozwolone jest znieważanie Użytkowników z powodu ich przynależności płciowej, seksualnej, narodowej, etnicznej, rasowej, wyznaniowej, albo z powodu jej bezwyznaniowości.', '(EN): No chauvinistic, misogynistic nature, as well as content displaying signs of gender discrimination. (PL): Niedozwolone są treści o charakterze szowinistycznym i mizoginistycznym, jak również noszące znamiona dyskryminacji płciowej.', '(EN): No content violating the personal rights of any third party. (PL): Zabrania się zamieszczania treści naruszających dobra osobiste osób trzecich.', '(EN): No content inciting dangerous behavior or praising such behaviord. (PL): Niedozwolone są treści nawołujące do zachowań niebezpiecznych, lub pochwalają takie zachowania.', ""(EN): Upon creating an account, it is required to introduce oneself using the hashtag #introduction in one's post. (PL): Po utworzeniu konta, wymagane jest przedstawienie się z wykorzystaniem hasztagu #introduction w swoim toot'cie.""]","{'Hate Speech': 3, 'Off-topic/topic specific': 2, 'Hate Speech, Harassment, Incitement of Violence': 1, 'Illegal Content, NSFW': 1, 'Links & Outside Content': 1, 'NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam': 1, 'Doxxing/Personal Info, Harassment': 1, 'Incitement of Violence': 1}","['(EN): No threats, harassment, racism, homophobia, sexism, and incitement to hatred towards individuals or groups. (PL): Niedozwolone są groźby, znęcanie się, rasizm, homofobia, seksizm oraz nawoływanie do nienawiści wobec jednostek oraz grup.', '(EN): No illegal content e.g. child pornography, pornography, frauds, illegal services etc.\r\n(PL): Niedozwolony jest content zabroniony prawnie np. dziecięca pornografia, pornografia, oszustwa, nielegalne usługi itp.', '(EN): No posting malicious links.\r\n(PL): Niedozwolone jest publikowanie złośliwych linków.', '(EN): No hate speech.\r\n(PL): Niedozwolona jest mowa nienawiści.', '(EN): NSFW content should be marked with a Content Warning. \r\n(PL): Treść NSFW piowinna być oznaczona ostrzeżeniem o zawartości.', '(EN): No spamming or explicit advertising allowed without proper introduction and/or other activity.\r\n(PL): Niedozwolone generowanie spamu ani jawnej reklamy bez odpowiedniego wprowadzenia i/lub innej aktywności.', '(EN): Comments should be related to the topics appearing within the thematic threads. (PL): Wypowiedzi powinny być związane z treściami pojawiającymi się w ramach wątków tematycznych.', '(EN): No insults based on their gender, sexual orientation, nationality, ethnicity, race, religion, or lack thereof. (PL): Niedozwolone jest znieważanie Użytkowników z powodu ich przynależności płciowej, seksualnej, narodowej, etnicznej, rasowej, wyznaniowej, albo z powodu jej bezwyznaniowości.', '(EN): No chauvinistic, misogynistic nature, as well as content displaying signs of gender discrimination. (PL): Niedozwolone są treści o charakterze szowinistycznym i mizoginistycznym, jak również noszące znamiona dyskryminacji płciowej.', '(EN): No content violating the personal rights of any third party. (PL): Zabrania się zamieszczania treści naruszających dobra osobiste osób trzecich.', '(EN): No content inciting dangerous behavior or praising such behaviord. (PL): Niedozwolone są treści nawołujące do zachowań niebezpiecznych, lub pochwalają takie zachowania.', ""(EN): Upon creating an account, it is required to introduce oneself using the hashtag #introduction in one's post. (PL): Po utworzeniu konta, wymagane jest przedstawienie się z wykorzystaniem hasztagu #introduction w swoim toot'cie.""]","{'Hate Speech': 3, 'Off-topic/topic specific': 2, 'Harassment, Hate Speech, Incitement of Violence': 1, 'Illegal Content, NSFW': 1, 'Links & Outside Content': 1, 'NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam': 1, 'Doxxing/Personal Info, Harassment': 1, 'Incitement of Violence': 1}"
mastodon.economiasocial.org,[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1}
mastodon.gamedev.place,"['Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', 'No content illegal in EU', 'Do not share intentionally false or misleading information']","{'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1}","['Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', 'No content illegal in EU', 'Do not share intentionally false or misleading information']","{'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1}","['Sexually explicit or violent media must be marked as sensitive when posting', 'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', 'No content illegal in EU', 'Do not share intentionally false or misleading information']","{'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1}"
mastodon.im.sb,"['遵循中文互联网的通用规则。', '特别的，严禁儿童色情（包括二次元）、政治相关内容。', '严禁虚拟币推广、拉人头相关内容。']","{'Not Applicable': 1, 'Illegal Content, NSFW, Off-topic/topic specific': 1, 'Advertising & Commercialization, Spam': 1}","['遵循中文互联网的通用规则。', '特别的，严禁儿童色情（包括二次元）、政治相关内容。', '严禁虚拟币推广、拉人头相关内容。']","{'Not Applicable': 1, 'Illegal Content, NSFW, Off-topic/topic specific': 1, 'Advertising & Commercialization, Spam': 1}","['遵循中文互联网的通用规则。', '特别的，严禁儿童色情（包括二次元）、政治相关内容。', '严禁虚拟币推广、拉人头相关内容。']","{'Not Applicable': 1, 'Illegal Content, NSFW, Off-topic/topic specific': 1, 'Advertising & Commercialization, Spam': 1}"
mastodon.insa.lol,"['Pas de racisme', 'Pas de sexisme', ""Pas d'harcèlement""]","{'Hate Speech': 2, 'Harassment': 1}","['Pas de racisme', 'Pas de sexisme', ""Pas d'harcèlement""]","{'Hate Speech': 2, 'Harassment': 1}","['Pas de racisme', 'Pas de sexisme', ""Pas d'harcèlement""]","{'Hate Speech': 2, 'Harassment': 1}"
mastodon.juggler.jp,"['日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。', '(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。', 'サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。', '(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。', '公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。', '年齢が14歳未満のユーザはこのサーバを利用できません。']","{'Illegal Content': 1, 'Impersonation': 1, 'Automated tools, Spam': 1, 'A: Not Applicable': 1, '- Advertising & Commercialization\n- Automated tools\n- Off-topic/topic specific': 1, 'Not Applicable': 1}","['日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。', '(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。', 'サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。', '(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。', '公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。', '年齢が14歳未満のユーザはこのサーバを利用できません。']","{'Not Applicable': 2, 'Illegal Content': 1, 'Impersonation': 1, 'Automated tools': 1, '- Advertising & Commercialization\n- Automated tools\n- Off-topic/topic specific': 1}","['日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。', '(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。', 'サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。', '(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。', '公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。', '年齢が14歳未満のユーザはこのサーバを利用できません。']","{'A: Illegal Content': 1, 'Impersonation': 1, 'Automated tools': 1, 'A: Not Applicable': 1, 'Advertising & Commercialization, Automated tools, Off-topic/topic specific, Not Applicable': 1, 'Not Applicable': 1}"
mastodon.li,"['不要發布討厭的小廣告', '為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；', '註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。', '帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。', '和推特、微博一樣，Mastodon的私信並未加密，管理員可以通過伺服器調取信息。']","{'Not Applicable': 3, 'Advertising & Commercialization, Spam': 1, 'Doxxing/ Personal Info': 1}","['不要發布討厭的小廣告', '為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；', '註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。', '帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。', '和推特、微博一樣，Mastodon的私信並未加密，管理員可以通過伺服器調取信息。']","{'Not Applicable': 3, 'A: Advertising & Commercialization, Spam': 1, 'Doxxing/ Personal Info': 1}","['不要發布討厭的小廣告', '為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；', '註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。', '帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。', '和推特、微博一樣，Mastodon的私信並未加密，管理員可以通過伺服器調取信息。']","{'Not Applicable': 2, 'A: Advertising & Commercialization, Spam': 1, 'Doxxing/ Personal Info': 1, 'A: Not Applicable': 1}"
mastodon.lubar.me,[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1}
mastodon.math.unipd.it,"[""- use 'mastodon.math.unipd.it' as server""]",{'Not Applicable': 1},[nan],{'Not Applicable': 1},"[""- use 'mastodon.math.unipd.it' as server""]",{'Not Applicable': 1}
mastodon.nz,"['In order to register here, you must be at least 13 years of age.', 'You MUST describe your link to NZ as part of your reason for wanting to join on the next page. Applications without this will be declined. You must be a kiwi or honorary kiwi, at home or abroad, to join Mastodon.nz.', 'You may only have one account on Mastodon.nz.', 'Personal accounts only. We do not allow bots, commercial, business, organisation or purely promotional accounts.', 'Automated cross-posting from other services such as twitter is considered to be a bot and is not allowed. If you have a blog or something and you want feed that through, this is generally fine.', ""No spamming. The occasional mention of your shop, fundraiser etc. is fine. It's hard to give a defined daily limit of what constitutes spam. Personal or professional (i.e. Mutual Aid/Kickstarters) fundraisers must be clearly tagged as such."", 'Content Warnings are mandatory on posts containing gore, violence, and “hot button” political or news takes, including accompanying images and links.', 'No impersonation of others. We may consider obvious parody accounts, but they must be agreed with @theadmin in advance.', 'No hate speech, racism, sexism, ableism, homophobia or transphobia.', 'No illegal content, gore or violence for the sake of it, incitement of violence or promotion of violent ideologies or conspiracy theories.', ""No NSFW content. A bit of casual swearing is fine, but don't be derogatory or aggressive to other users (see rule 12)."", 'Be kind. No abuse or harassment will be tolerated.', 'No doxxing other users.', 'Content hosted on Mastodon.nz or produced by its users may not be reused outside of the fediverse without the express permission of the author(s).', 'Mastodon.NZ complies with copyright laws. We expect you to as well. Your content must be your own or acceptable use.', 'Image descriptions: It is expected that users will add image descriptions to their uploads for\r\nour visually impaired users. Unless there is a reason you can not, you must do so.', 'Expanded rule list with examples can be found @ https://mastodon.nz/rules.pdf']","{'Impersonation': 2, 'Not Applicable': 1, 'Off-topic/topic specific': 1, 'A: Advertising & Commercialization, Automated tools': 1, 'Automated tools, Reposting/Crossposting': 1, 'Spam, Advertising & Commercialization': 1, 'Content Warnings, Images, Links & Outside Content': 1, 'Hate Speech': 1, 'Illegal Content, Incitement of Violence, Mis/Disinformation/Conspiracy': 1, 'NSFW, Harassment': 1, 'Harassment': 1, 'Doxxing/Personal Info': 1, 'Copyright/ Piracy, Links & Outside Content': 1, 'Copyright/Piracy': 1, 'Images': 1, 'Links & Outside Content': 1}","['In order to register here, you must be at least 13 years of age.', 'You MUST describe your link to NZ as part of your reason for wanting to join on the next page. Applications without this will be declined. You must be a kiwi or honorary kiwi, at home or abroad, to join Mastodon.nz.', 'You may only have one account on Mastodon.nz.', 'Personal accounts only. We do not allow bots, commercial, business, organisation or purely promotional accounts.', 'Automated cross-posting from other services such as twitter is considered to be a bot and is not allowed. If you have a blog or something and you want feed that through, this is generally fine.', ""No spamming. The occasional mention of your shop, fundraiser etc. is fine. It's hard to give a defined daily limit of what constitutes spam. Personal or professional (i.e. Mutual Aid/Kickstarters) fundraisers must be clearly tagged as such."", 'Content Warnings are mandatory on posts containing gore, violence, and “hot button” political or news takes, including accompanying images and links.', 'No impersonation of others. We may consider obvious parody accounts, but they must be agreed with @theadmin in advance.', 'No hate speech, racism, sexism, ableism, homophobia or transphobia.', 'No illegal content, gore or violence for the sake of it, incitement of violence or promotion of violent ideologies or conspiracy theories.', ""No NSFW content. A bit of casual swearing is fine, but don't be derogatory or aggressive to other users (see rule 12)."", 'Be kind. No abuse or harassment will be tolerated.', 'No doxxing other users.', 'Content hosted on Mastodon.nz or produced by its users may not be reused outside of the fediverse without the express permission of the author(s).', 'Mastodon.NZ complies with copyright laws. We expect you to as well. Your content must be your own or acceptable use.', 'Image descriptions: It is expected that users will add image descriptions to their uploads for\r\nour visually impaired users. Unless there is a reason you can not, you must do so.', 'Expanded rule list with examples can be found @ https://mastodon.nz/rules.pdf']","{'Impersonation': 2, 'Not Applicable': 1, 'Off-topic/topic specific': 1, 'Advertising & Commercialization, Automated tools': 1, 'Automated tools, Reposting/Crossposting': 1, 'Spam, Advertising & Commercialization': 1, 'Content Warnings, Images, Links & Outside Content': 1, 'Hate Speech': 1, 'Illegal Content, Incitement of Violence, Mis/Disinformation/Conspiracy': 1, 'NSFW, Harassment': 1, 'Harassment': 1, 'Doxxing/ Personal Info': 1, 'Links & Outside Content, Copyright/Piracy': 1, 'Copyright/Piracy': 1, 'Images': 1, 'Links & Outside Content': 1}","['You must read the rules.', 'You MUST describe your link to NZ as part of your reason for wanting to join on the next page. Applications without this will be declined. You must be a kiwi or honorary kiwi, at home or abroad, to join Mastodon.nz.', 'You may only have one account on Mastodon.nz and be at least 13 years of age.', 'Personal accounts only. We do not allow bots, commercial, business, organisation or purely promotional accounts.', 'Automated cross-posting from other services such as twitter is considered to be a bot and is not allowed. If you have a blog or something and you want feed that through, this is generally fine.', ""No spamming. The occasional mention of your shop, fundraiser etc. is fine. It's hard to give a defined daily limit of what constitutes spam. Personal or professional (i.e. Mutual Aid/Kickstarters) fundraisers must be clearly tagged as such."", 'Content Warnings are mandatory on posts containing gore and/or violence. Posts about politics must be tagged one or more of #nzpol, #tōrangapū, #pol, and/or #politics, and optionally may be content warned.', 'No impersonation of others. We may consider obvious parody accounts, but they must be agreed with @theMods in advance.', 'No hate speech, racism, sexism, ableism, homophobia or transphobia.', 'No illegal content, gore or violence for the sake of it, incitement of violence or promotion of violent ideologies or conspiracy theories.', ""No NSFW content. A bit of casual swearing is fine, but don't be derogatory or aggressive to other users (see rule 12)."", 'Be kind. No abuse or harassment will be tolerated.', 'No doxxing other users.', 'Content hosted on Mastodon.nz or produced by its users may not be reused outside of the fediverse without the express permission of the author(s).', 'Mastodon.nz complies with copyright laws. We expect you to as well. Your content must be your own or acceptable use.', 'Image descriptions: It is expected that users will add image descriptions to their uploads for\r\nour visually impaired users. Unless there is a reason you can not, you must do so.', 'Copy of rules with more detailed guidance can be found at https://mastodon.nz/rules.pdf']","{'Impersonation': 2, 'Not Applicable': 1, 'Off-topic/topic specific': 1, 'A: Advertising & Commercialization, Automated tools': 1, 'Automated tools, Reposting/Crossposting': 1, 'Spam, Advertising & Commercialization': 1, 'Content Warnings, Off-topic/topic specific': 1, 'Hate Speech': 1, 'Illegal Content, Incitement of Violence, Mis/Disinformation/Conspiracy': 1, 'NSFW, Harassment': 1, 'Harassment': 1, 'Doxxing/Personal Info': 1, 'Copyright/ Piracy, Links & Outside Content': 1, 'Copyright/Piracy': 1, 'Images': 1, 'Links & Outside Content': 1}"
