,rules
608,please do not upload videos use video services like vimeo youtube or other services instead and post a link this preserves storage and bandwidth and keeps costs down
609,be kind insulting or bullying other members or nonmembers will get you banned from the group without prior warning
610,be civil we do not condone foul language breaking this rule once will land you a warning doing it repeatedly will get you banned
611,promotion of your own creative endeavors and of nonprofit organizations is acceptable but other advertising should be avoided inappropriate posts will be immediately removed and you might get banned
612,use the search option to avoid cluttering the group please search the feed before asking a question someone might have already asked the same thing before
613,english preferred please to make sure all members of the group understand you please use the english language links to posts in other languages are ok
614,stick to the topic we only allow posts and comments related to the groups activity offtopic content will be removed and you will get a warning
615,no spamming asking the same question or posting the same comment repeatedly after it has been removed by admins due to rule violation will result in a ban
616,report rulebreaking if you see a postcomment that violates our rules report it to the admins do not verbally attack the author of said postcomment
617,think before you report dont report posts or comments that arent breaking any rules just because you dont like or agree with their content
618,talk to the admin team if you have any questions or concerns or are experiencing issues in the group please turn to one of the admins for help thats what were here for
619,no commercial advertisements
620,no bots unless approved by an admin
621,no threats or incitement to violence
622,no dissemination of demonstrably false claims for manipulative purposes
623,no racism sexism or discrimination based on sexual orientation gender identity religion or disability
624,no conspiracy theories
625,no content that is illegal under eu laws
626,sexually explicit or pornographic content must use the content warning feature
627,no harassment of other users
628,no explicit material depicting gore or death
629,no explicit or suggestive material containing any depiction of an individual that appears to be under 18
630,no harassment doxxing stalking or other methods of disregarding consent
631,no scams including cryptocurrency and nfts
632,no misinformation about but not limited to health politics or groups
633,no explicit or implicit discriminatory or hateful speech about any protected class gender race veteran status religion immigration status nationality disability etc
634,no reply guy behavior
635,no spamming paid advertising or corporate marketing
636,no content otherwise considered illegal in the us canada or europe
637,content which is sexually suggestive sexually explicit relates to trauma depicts violence or includes discussion or depiction of transphobic content must have an appropriate content warning
638,just all around please dont be a jerk
639,be good and kind to each other give peoples music a try you dont have to like it but you also dont have to tell everyone you dont like it either
640,polite disagreements are fine but being rude will get you banned
641,invalidating someone elses music preferences except for intolerant types of music hate music etc will earn a ban
642,no advertisements except of musical bands or acts and related ads my band is on tour is fine my cryptocurrency ad has music is not fine
643,links to illegal content are banned especially music downloads you dont permission to distribute
644,nsfw content without tagging will get you banned
645,no spam
646,if youre looking for mastodon that rock metal band theyre over at mastodonmusicmastodonsocial theyre welcome to be here too but wow epic namespace crossover
647,no posting other artists work without credit and analysisopinion
648,no racism sexism discrimination against gender and sexual minorities ableism fatmisia xenophobia andor violent nationalism or the advocation of all of the above
649,conduct intended to stalk or harass users impede users from using the service degrade the performance of the service or incite others to perform any of the aforementioned actions is disallowed
650,no content that includes sexual depictions of minors this includes loli content illegal in germany andor france andor united states such as holocaust denial or nazi symbolism conduct promoting the ideology of national socialism
651,no nft content none at all there are cryptorelated instances on the fediverse that would be more suitable
652,tag sensitive content such as violenceblood nsfw content and other potentially upsetting or triggering topics and hide them under a content warning cw weird that this might happen on a music instance but yet here we are
653,mastodon music has a zerotolerance mandate for harassment or bullying your account will be immediately suspended
654,no unapproved bots advertising or spam one big exception is direct posts by musicians about their music and concerts for now theres no rule on corporate posts but if things get noisy and lessuseful well reword this to exclude excessiveprofitgenerating posts
655,prefer music purchase links over streaming links this isnt a hard and enforced rule but musicians need everyones support in other words post bandcamp or store links at the top and spotify yt music links in the reply or comment whenever possible
656,twitter and meta etc have a documented history of enabling hate speech under the guise of free speech this is bad for the world ultimately the safety of the users of this server is paramount if you want to connect with threads users another server is your best bet
657,dont be a dick the universal rule
658,slurs and hate speech are not tolerated
659,use cw tags for gore and other nsfw posts
660,dont do anything that would cause another instance to defed completely block our instance when i receive reports i will take the steps necessary to resolve the remote grievance if i find it has merit and i will reach out to you via dm to inform you of the decision ive made
661,observe mastodon etiquette as best as we can a majority of us are new to this network that has been around for many years and has its own culture
662,no content that is considered illegal in the united states
663,no posting misinformation or misleading information
664,no harassment dogpiling or doxxing of other users
665,we verwachten van onze gebruikers dat zij de overlast voor andere gebruikers lokaal en op de rest van het fediversum zo veel mogelijk beperken
666,beheerders kunnen gebruikers individuele beperkingen opleggen of ontheffingen verlenen bezwaar kan worden aangetekend per email aan abusehsnlsocial maar schort de beslissing op zich niet op
667,
668,
669,
670,
671,
672,
673,
674,
675,no calls for or glorification of violence
676,no racism sexism ableism or discrimination on the basis of religion national origin gender identity or sexual orientation
677,be decent civil and kind
678,engage dont compete
679,no content unlawful in the united states or the state of new york
680,be kind and respectful of one another
681,threats of harm doxxing or other abusive behavior will not be tolerated
682,sensitivensfw content if any must be posted with proper taggingwarning
683,texte dürfen nur in deutsch oder englisch verfasst werden
684,antisemitismus cyberbullying diskriminierung doxing fakenews gewalt hatespeech mobbing nacktfotos pornographie rassismus spam üble nachrede verhetzung verschwörungstheorien und alle in österreich gesetzlich verbotenen inhalte werden hier nicht geduldet
685,konten für bots oder ausschließlichem crossposting sind nur nach vorheriger absprache gestattet
686,konten dürfen nur von volljährigen benutzerinnen 18 oder älter erstellt und geführt werden
687,benutzerinnen dürfen ausschließlich fotostextevideos etc veröffentlichen wenn sie über die dafür notwendigen lizenzen bzw rechte verfügen und dadurch keine rechte dritter verletzt werden zb datenschutz markenrecht urheberrecht privatsphäre
688,benutzerinnen haften nach geltendem österreichischem recht für ihre erstellten inhalte
689,konten mit temporären wegwerfmailadressen werden gelöscht
690,lies dir unsere ausführlichen regeln durch httpscultursocialabout
691,nutze wenn angemessen inhaltswarnungen und bildbeschreibungen
692,keinerlei diskriminierende inhalte kein bedrohliches oder belästigendes verhalten keine propaganda
693,bots nur in engen grenzen kein spam kein fake
694,keine pornografie gelegentliche nsfwinhalte immer markieren
695,pflege einen respektvollen und inklusiven umgang be excellent to each other
696,die kommunikation mit dem moderatorinnen sollte in deutscher oder englischer sprache erfolgen jegliche meldungen einsprüche und begründungen in anderen sprachen müssen wir im zweifel ablehnen
697,dont be a jerk
698,no bigotry hate intolerance or discrimination this includes but is not limited to racism sexism transphobia homophobia etc
699,no threats no calls to violence or endorsement of criminal behavior
700,no blockchain crypto nfts
701,selfpromotion is okay spamming isnt know the difference
702,no nudity or adult content the admins dont need the headache
703,no piracy or links to pirated content
704,no illegal activities
705,do interact with others as if youre at a friends party be polite inquisitive supportive observant and all the other nice things that make parties great and above all have fun
706,do not ruin your friends party by being nasty obnoxious hateful and all the other things that will get you ejected from a party
707,alles was im deutschen recht verboten ist darf auf dieser instanz nicht gemacht werden
708,nsfw inhalte zu veröffentlichen oder zu teilen ist hier verboten
709,das öffentliche bloßstellen einzelner personen vom fediverse wird hier nicht geduldet
710,diskriminierung homophobie transphobie beleidigungen mobbing stalking spam und ähnliches sind hier nicht erlaubt respekt ist wichtig
711,crossposts mit erwähnungen müssen auf nicht gelistet oder privat gestellt werden individuelle ausnahmen können mit dem bahnsocial team gemacht werden
712,alles was dieser instanz schädigen kann ist nicht gestattet
713,es darf sich nicht für eine andere person ausgegeben werden inhalt einer person für sein eigenes angegeben werden
714,there is only one rule no illegal activities and post on this server
715,
716,
717,
718,
719,
720,no se permiten actitudes contra la dignidad de las personas ya sea por su raza origen sexo orientación sexual identidad de género situación personal riesgo de exclusión social o cualquier otro motivo tampoco la falta de respeto o el acoso a los miembros de esta o de cualquier otra comunidad
721,el idioma por defecto de la instancia es el castellano pero cualquier otro también es bienvenido los idiomas romances escritos son fácilmente inteligibles con un poco de voluntad y el inglés nos guste o no es idioma universal otros como el euskera bueno para algo existen los traductores
722,se permite contenido ajeno a las temáticas de la instancia pero se espera que una buena parte esté relacionado los temas potencialmente polémicos se deben conducir con educación y respeto y etiquetar con un cw que permita identificar el contenido y un hashtag para poder filtrar
723,no está permitido el contenido ilegal la distribución de desinformación y el spam tampoco la publicidad salvo recomendaciones puntuales o la promoción de productos propios crowdfundings nuevas publicaciones artesanía ilustraciones siempre que la cuenta no sea solo con este fin
724,el contenido sexual explícito no es temática de la instancia seamos responsables en marcar imágenes o ilustraciones con cw y nsfw no es lo mismo una estatua que un fanart subido de tono el contenido que muestre o sugiera actividad sexual o desnudos de menores está absolutamente prohibido
725,las decisiones sobre moderación normas y funcionamiento de la instancia se tomarán de manera colectiva mediante los procedimientos que se establezcan en cada momento entre quienes estén colaborando en su mantenimiento
726,solo se bloquearán instancias si promueven la discriminación o el acoso o en casos excepcionales meta spam contenido sexual de menores se silenciarán si no hay moderación activa y se bloquearán las cuentas reportadas
727,para ayudar a la sostenibilidad de la instancia las cuentas inactivas podrán ser dadas de baja despues de avisar al propietario y las cachés de recursos gráficos se borrarán periódicamente las nuevas altas que no sigan a nadie ni publiquen contenido en siete días se consideran inactivas
728,solo se permiten cuentas bot si el perfil está claramente identificado y si se ha consultado previamente con los administradores de la instancia
729,las nuevas altas serán por solicitud de registro o por invitación en las solicitudes se exige que el campo motivación tenga un contenido mínimamente razonado más de 2 palabras para poder distinguir bots por favor usad la palabra friki o el hashtag nosoyunbot
730,be respectful even if you disagree
731,be polite and kind
732,hate speech discrimination and harassment of any kind are not tolerated on this server
733,no spam
734,no content illegal in uk eu usa
735,bots must be marked as bot in their profile
736,no racism sexism homophobia transphobia xenophobia or casteism
737,no incitement of violence or promotion of violent ideologies
738,no harassment dogpiling or doxxing of other users
739,no illegal content
740,do not share intentionally false or misleading information
741,sexually explicit or violent media must be marked as sensitive when posting
742,wir pflegen ein freundliches miteinander beleidigungen mobbing drohungen oder sonstiges schlechtes benehmen wird nicht geduldet
743,alle menschen sind gleich rassismus sexismus und homophobie ist nicht erwünscht
744,inhalte die in irgendeiner form der strafbarkeit nach deutschem oder international anerkanntem recht unterliegen oder sonst gegen gesetze verstoßen werden samt verursacher entfernt
745,spam ist verboten werbung in erträglichem maße wird geduldet
746,die anwendung der regeln liegt im ermessen der administratoren und moderatoren es gibt keinen rechtsanspruch auf teilnahme
747,לא להטריד להתקיף להשפיל או לאיים
748,אם מישהוי מבקשת להפסיק אינטראקציה כלשהי להפסיק אותה מיד
749,לנסות לאפשר מרחב נעים ומכיל עבור כולןם
750,לא להציג באופן גלוי תכנים פורנוגרפיים או ייצוגים של אלימות פיזית
751,אפס סובלנות לגזענות בפרט כל התבטאות כהניסטית או נאצית
752,no discrimination including but not limited to racism sexism homophobia or transphobia
753,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images
754,no harassment of other users on this or other servers
755,no content illegal in the united kingdom
756,no incitement of violence or promotion of violent ideologies
757,no disinformation regarding public health issues or politicalmilitary campaigns
758,no impersonation of other individuals public figures or organisations unless clearly marked as a parody
759,no spam or seo accounts existing entirely or mostly of spam will be suspended self promotion and limited advertising is acceptable especially where relevant to the community
760,no posting in languages other than english unfortunately this makes moderation impossible for us
761,no illegal content under us french or european law
762,do not use slurs or racist sexist homophobic transphobic ableist or otherwise discriminatory or hateful jokes or language or promote white supremacy antisemitism transphobia or other hateful ideologies
763,do not harass anyone participate in group harassment of anyone or otherwise engage in personal attacks posting or threatening to post other peoples personally identifying information doxing constitutes harassment
764,do not be intentionally antagonistic a post or reply designed to provoke a confrontation is not acceptable
765,do not use automated tools to toot without participating in the community it is fine to post with an automated tool so long as you are an active member of the earpnation community and respond to replies you receive here unmonitored accounts that post automatically are not acceptable
766,do not post spam toots that are nothing other than a link andor contain an inordinate number of hashtags are spam as does any overly commercial selfpromotion it is fine to toot about your own projects and share what you are excited to be working on just keep the toot itself interesting
767,do not post about inflammatory controversial subjects without a content warning
768,do not engage in name calling ad hominem attacks or any other uncivil behavior criticize ideas or behavior and never people
769,do not tone police toots may violate the standards of civility we set on earpnation but you should not criticize users for their tone report them or feel free to block them in neither case should you criticize their tone
770,discrimination of any kind is prohibited this includes but is not limited to racism xenophobia sexism homophobia transphobia etc
771,content that you do not have permission to post is prohibited
772,spam and or bots are prohibited
773,media showing anything that someone may find objectionable must be marked as sensitive this is especially true for anything that should only be viewed by people over 18
774,any political polarizing topics or other stressinducing conversations should be put behind a content warning cw
775,under 18s are not permitted to sign up to this instance
776,media showing nudity bodily fluids or messy diapers must be behind a content warning cw
777,artwork photos images or descriptions eg roleplaying of any kind depicting or describing anyone under 18 in any adult situation is strictly not permitted
778,לפטודון הוא מרחב בטוח רדיקלי ופוליטי במוצהר אין מקום למיזוגניה להטבפוביה גזענות כולל לאומנות אנטישמיות איגניקה למעמדנות שנאת עניים אייבליזם דיכוי אנשים עם מוגבלויות ואייגיזם דיכוי על בסיס גיל וכל דיכוי מערכתי אחר ברצינות אנחנו פשוט נמחק פוסטים כאלו ונשעה את הכותבים שלהם
779,זה כולל גם הטרדות סטוקינג והפרת פרטיות דוקסינג
780,במילים אחרות אנחנו לא מכילות שום התנהגות בריונית
781,עקבו אחרי הקוים המנחים שלנו לאזהרות תוכן
782,בנוסף אסור לפרסם כל דבר שלא חוקי בצרפת שם מאוכסן השרת
783,sexually explicit or violent media must be marked as sensitive when posting content warn cw anything you wouldnt see in general media and be kind with spoilers
784,no racism sexism homophobia transphobia xenophobia or casteism
785,no incitement of violence or promotion of violent ideologies
786,no harassment spamming dogpiling or doxxing of other users
787,only share content that is legal in the united kingdom and your own country of origin
788,do not share intentionally false or misleading information
789,no ban evasion nft ai artwork impersonation hate or gorecentric accounts parody is ok if clearly labelled
790,you must be 18 to join this server read the house rules extended code of conduct httpsfurryenergyabout httpsfurryenergyprivacypolicy
791,no adult content including nudity pornography sexually explicit content gore or extremely graphic violence including artistic depictions
792,no racism sexism casteism ableism antisemitism islamophobia or the advocation thereof
793,no distribution of content harmful to the public good such as antivaxx or climate denial
794,no discrimination against gender or sexual minorities or the advocation thereof
795,no xenophobic or nationalist content including nationalistic symbolism and perpetuating nationalistic disinformation
796,no content that is objectionable per the films videos and publications classification act 1993
797,no harassment see full code of conduct
798,no content that is in breach of aotearoa new zealand courtmandated suppression orders
799,no misinformation
800,no spam
801,be a known and active creator
802,compliance with german and european laws
803,no nsfw content
804,treat all users with respect
805,spamming is prohibited
806,only english or german posts
807,no racism sexism homophobia transphobia xenophobia or casteism
808,no incitement of violence or promotion of violent ideologies
809,no harassment bullying or doxxing of other users
810,do not share intentionally false or misleading information
811,do not post spam toots that are nothing other than a link andor contain an inordinate number of hashtags constitute spam as does any overly commercial selfpromotion
812,coming soon send your ideas to anseljhlawbuilders
813,racism antisemitism sexism casteism homophobia transphobia and harassment of any kind will not be tolerated hostile and spam instances will be blocked
814,please feel free to mute you dont see them or block they dont see you either freely if a hostile or spam userinstance appears please submit a report to your admin report harassment immediately
815,fill out your profile when you join when you follow someone they should be able to see something about you
816,use the cw button broadly for shocking potentially annoying or repetitive content include a caption for all images please do not ask others to cw experiences of discrimination
817,dont post lists of users that they have not opted into or repost content you see here on other sites avoid using asterisks or euphemisms which get around peoples blocked and muted terms
818,in order to join this server you should provide a brief explanation of why you are joining this particular server not just why you are leaving another social media site why is c18mastohost right for you
819,no body shaming ageism casteism racism sexism homophobia transphobia or xenophobia
820,no harassment dogpiling or doxxing of any user
821,no predatory marketing practices
822,no intentionally false or misleading information
823,no nonsexual nudity that directs to sex businesses or accounts
824,no nonconsensual media containing nudity
825,no incitement of violence or promotion of violent ideologies
826,mark violent media with a content warning
827,mark sexuallyexplicit nudity with a content warning
828,mark aigenerated accounts as aigenerated in the accounts description
829,complete your account with a profile picture cover picture and description
830,do not engage in harassment of any kind
831,racial sexist and other oppressive slurs will get you suspended even in nonpublic conversations
832,dont crosspost from another social network without participating in the community
833,no corporate accounts
834,public images and media must be annotated where the material is not yours source attribution must be provided preferably with a link to the original
835,no explicit nsfw content without content warnings andor sensitive media markers
836,please report problematic content so that moderators can take note and take action
837,no incitement of violence or promotion of violent ideologies
838,用户交流禁止发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论
839,用户交流禁止对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容
840,敏感内容只要涉及成人内容包括文字及媒体均需使用恰当的cw标签及隐藏内容警告
841,敏感内容请不要发布违反伦理及社会共识的成人内容如由真实的儿童参与制作的色情内容
842,使用行为禁止对其他用户实施任何人肉行为
843,使用行为禁止使用包括但不限于任何形式的自动化程序等手段大量获取本站的数据
844,使用行为机器人账户不得滥用服务器资源
845,使用行为禁止冒用他人身份注册账号或发布冒用他人身份的嘟文
846,使用行为禁止将本站服务用于正常交流以外的用途的滥用行为
847,使用行为禁止散布计算机恶意程序
848,广告及推广请不要推广虚假诈骗或违反本站服务条款的内容
849,广告及推广请不要发布重复推广内容或重复刷屏
850,广告及推广请不要发布与本站用户完全不相干的推广内容
851,知识产权请不要发布盗版内容
852,知识产权请不要在未经作者授权的情况下发布他人作品
853,新用户注册要求 请使用中文告诉我们加入本社区的理由请使用至少10个汉字描述理由如被批准您会收到一封欢迎邮件如没有按照上述要求填写注册会被拒绝
854,see the rules section of the about page for this server httpswikisworldabout
855,pixelfedeus euskaraz bizi da ahal bezain beste euskara erabili
856,debekatuak daude faxismoa arrazakeria sexismoa xenofobia homofobia transfobia
857,ez inor iraindu edo jazarri
858,友善交流互相尊重
859,热爱自由拥抱世界文明
860,no extreme adult content or depiction of extreme violence
861,no hate speech or discrimination of any group of people nationality ethnicity religion gender sexual orientation
862,no personal attacks or unwanted individualdirected sexual humor
863,no content illegal in the united kingdom
864,no public posts in languages other than english and farsi
865,and more
866,sé amable con los demás especialmente con aquellas personas con trasfondos o comportamientos que no conozcas o comprendas acosar humillar o divulgar información de otras personas sin su consentimiento no está permitido
867,no está permitido exhibir o promocionar conductas que promuevan odio hacia colectivos minoritarios o vulnerables sirviendo como ejemplo conductas racistas xenófobas misóginas homófobas tránsfobas capacitistas o elitistas
868,las imágenes con contenido o implicaciones sexuales nsfw deberán estar marcadas como contenido sensible y publicadas como no listado o solo seguidores no está permitido subir o enlazar a imágenes o material de ficción que sexualicen a menores o a personas representadas como menores
869,no está permitido publicar contenido generalmente considerado no deseado tal como publicidad o links de afiliado márketing multinivel consejos de inversión no solicitados desinformación o aquel que presente como hechos afirmaciones sin evidencia científica
870,no admitimos cuentas dedicadas entera o mayoritariamente a promocionar contenido en forma enlaces a otras webs owocafe es una comunidad en la que las personas hablan con otras personas
871,impressum httpswwwiticsunimagdeburgdeindexphpidimpressum
872,datenschutzerklärung httpswwwovgudedatenschutzerklaerunghtml
873,dont be a dick
874,no violence
875,no fascism
876,no colonialism
877,no white supremacy
878,no religious extremism
879,no nationalism
880,no racism
881,no homophobia
882,no transphobia
883,safe space lgtbqia
884,safe space neurodivergent adhd aspie autism etc
885,dont be mean
886,be yourself this is not purely a bayes place but a place for people who practice a certain form of inference to be themselves
887,do not post copyrighted material
888,日本の法律と社会規範に従った行動を心がけてください
889,不快や脅威に対してはブロックミュートフィルターで距離をとってください
890,投稿する際は適切な公開範囲cw閲覧注意を使用してください
891,wnymathguy friendica terms of service
892,last updated friday march 1 2019
893,
894,1 terms
895,by accessing the website at httpsnsfwwnymathguycom you are agreeing to be bound by these terms of service all applicable laws and regulations and agree that you are responsible for compliance with any applicable local laws if you do not agree with any of these terms you are prohibited from using or accessing this site the materials contained in this website are protected by applicable copyright and trademark law
896,
897,2 use license
898,a permission is granted to store and retrieve your own files and information as well as use the communications features and other media streaming services on the wnymathguy friendica server for personal noncommercial purposes only this is the grant of a license not a transfer of title and under this license you may not
899,i modify or copy the materials of the system or that of other users
900,ii use the materials for any commercial purpose or for any public display commercial or noncommercial
901,iii attempt to decompile or reverse engineer any software contained on the wnymathguy friendica server or the other systems it runs on
902,iv remove any copyright or other proprietary notations from the materials or
903,v transfer the materials to another person or mirror the materials on any other server
904,vi do anything that is or appears to be of a criminal nature or even act in the capacity of an accomplice to an actual or simulated criminal act or even store evidence of any criminal act on the system
905,b this license shall automatically terminate if you violate any of these restrictions and may be terminated by the wnymathguy friendica server at any time upon terminating your viewing of these materials or upon the termination of this license you must destroy any downloaded materials in your possession whether in electronic or printed format
906,
907,3 disclaimer
908,a the materials on the wnymathguy friendica server are provided on an as is basis the wnymathguy friendica server makes no warranties expressed or implied and hereby disclaims and negates all other warranties including without limitation implied warranties or conditions of merchantability fitness for a particular purpose or noninfringement of intellectual property or other violation of rights
909,b further the wnymathguy friendica server does not warrant or make any representations concerning the accuracy likely results or reliability of the use of the materials on its website or otherwise relating to such materials or on any sites linked to this site it is up to the user to verify any and all claims made on this site with an independent source
910,
911,4 limitations
912,in no event shall the wnymathguy friendica server or its suppliers be liable for any damages including without limitation damages for loss of data or profit or due to business interruption arising out of the use or inability to use the materials on the wnymathguy friendica server even if the wnymathguy friendica server or a the wnymathguy friendica server authorized representative has been notified orally or in writing of the possibility of such damage because some jurisdictions do not allow limitations on implied warranties or limitations of liability for consequential or incidental damages these limitations may not apply to you
913,
914,5 accuracy of materials
915,the materials appearing on the wnymathguy friendica server website could include technical typographical or photographic errors the wnymathguy friendica server does not warrant that any of the materials on its website are accurate complete or current the wnymathguy friendica server may make changes to the materials contained on its website at any time without notice however the wnymathguy friendica server does not make any commitment to update the materials
916,
917,6 links
918,the wnymathguy friendica server has not reviewed all of the sites linked to its website and is not responsible for the contents of any such linked site the inclusion of any link does not imply endorsement by the wnymathguy friendica server of the site use of any such linked website is at the users own risk
919,
920,7 modifications
921,the wnymathguy friendica server may revise these terms of service for its website at any time without notice by using this website you are agreeing to be bound by the then current version of these terms of service
922,
923,8 governing law
924,these terms and conditions are governed by and construed in accordance with the laws of new york united states and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location
925,
926,contacting us
927,if there are any questions regarding this privacy policy you may contact us using the information below
928,wnymathguy friendica admin
929,206 harrogate square
930,amherst ny 142214046
931,united states
932,nsfwwnymathguycom
933,
934,last edited on 20190301
935,
936,
937,
938,
939,
940,
941,
942,wnymathguy friendica server privacy policy at nsfwwnymathguycom
943,last updated friday march 1 2019
944,
945,this privacy policy has been compiled to better serve those who are concerned with how their personally identifiable information pii is being used online pii as described in us privacy law and information security is information that can be used on its own or with other information to identify contact or locate a single person or to identify an individual in context please read our privacy policy carefully to get a clear understanding of how we collect use protect or otherwise handle your personally identifiable information in accordance with our website
946,
947,α what personal information do we collect from the people that visit our social networking communication and information sharing site
948,when registering on our site as appropriate you may be asked to enter your name email address mailing address phone number social media user ids or other details to help you with your experience
949,at the time of registration and for providing communications between the user account and their contacts the user has to provide a display name pen name a username nickname and a working email address the names will be accessible on the profile page of the account by any visitor of the page even if other profile details are not displayed the email address will only be used to send the user notifications about interactions but wont be visibly displayed the listing of an account in the nodes user directory or the global user directory is optional and can be controlled in the user settings it is not necessary for communication
950,this information is required for communication and is passed on to the nodes of the communication partners and is stored there users can enter additional personal information that may be transmitted to the communication partners accounts
951,at any point in time a loggedin user can export their account data from the account settings if the user wants to delete their account they can do so at httpnsfwwnymathguycomremoveme the deletion of the account will be permanent deletion of the data will also be requested from the nodes of the communication partners
952,
953,β when do we collect information
954,we collect information from you when you register on our site respond to a nonanonymous survey fill out a form specific to your identity use live chat or enter information on our site provide us with feedback on our products or services
955,
956,γ how do we use your information
957,we may use the information we collect from you when you register respond to a survey surf the website or use certain other site features in the following ways
958,to personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested
959,to allow us to better service you in responding to your customer service requests
960,to send periodic emails regarding your usage or other products and services
961,
962,δ how do we protect your information
963,we do use vulnerability scanning andor scanning to pci standards we only provide storage of your content and other information streams we never ask for credit card numbers we use regular malware scanning
964,your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems and are required to keep the information confidential in addition all sensitive information you supply is encrypted via secure socket layer ssl technology
965,we implement a variety of security measures when a user enters submits or accesses their information to maintain the safety of your personal information
966,
967,ε do we use cookies
968,yes cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser if you allow that enables the sites or service providers systems to recognize your browser and capture and remember certain information for instance we use cookies to help us remember and process the preferences you store they are also used to help us understand your preferences based on previous or current site activity which enables us to provide you with improved services we also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future
969,we use cookies to
970,understand and save users preferences for future visits
971,you can choose to have your computer warn you each time a cookie is being sent or you can choose to turn off all cookies you do this through your browser settings since each browser is a little different look at your browsers help menu to learn the correct way to modify your cookies
972,if users disable cookies in their browser
973,some of the features that make your site experience more efficient may not function properly
974,thirdparty disclosure
975,we do not sell trade or otherwise transfer to outside parties your personally identifiable information
976,thirdparty links
977,we do not include or offer thirdparty products or services on our website
978,google
979,googles advertising requirements can be summed up by googles advertising principles
980,they are put in place to provide a positive experience for users
981,httpssupportgooglecomadwordspolicyanswer1316548hlen
982,we do not use google adsense advertising on our website
983,we have implemented the following
984,california online privacy protection act
985,caloppa is the first state law in the nation to require commercial websites and online services to post a privacy policy the laws reach stretches well beyond california to require any person or company in the united states and conceivably the world that operates websites collecting personally identifiable information from california consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared see more at httpconsumercalorgcaliforniaonlineprivacyprotectionactcaloppasthash0fdrbt51dpuf
986,according to caloppa we agree to the following
987,users can visit our site anonymously
988,once this privacy policy is created we will add a link to it on our homepage or as a minimum on the login page for entering our website
989,our privacy policy link is identified by the words terms of service and can easily be found on the httpsnsfwwnymathguycom page by clicking the question mark icon at the top right corner of the site
990,you will be notified of any privacy policy changes
991,via email or an affirmation window during normal use of the sites services or via the tos page at this link httpsnsfwwnymathguycomtos
992,you can change your personal information
993,by logging in to your account and editing via the profile subtab of your home tab
994,by chatting with us or by sending us a support request via email
995,
996,ζ how does our site handle do not track signals
997,we honor do not track signals and do not track plant cookies or use advertising when a do not track dnt browser mechanism is in place
998,
999,η does our site allow thirdparty behavioral tracking
1000,its also important to note that we do not allow thirdparty behavioral tracking
1001,coppa children online privacy protection act
1002,when it comes to the collection of personal information from children under the age of 13 years old the childrens online privacy protection act coppa puts parents in control the federal trade commission united states consumer protection agency enforces the coppa rule which spells out what operators of websites and online services must do to protect childrens privacy and safety online
1003,we do not specifically market to children under the age of 13 years old
1004,we do not let thirdparties including ad networks or plugins collect pii from children under 13
1005,
1006,θ fair information practices
1007,the fair information practices principles form the backbone of privacy law in the united states and the concepts they include have played a significant role in the development of data protection laws around the globe understanding the fair information practice principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information
1008,in order to be in line with fair information practices we will take the following responsive action should a data breach occur
1009,we will notify you via email
1010,we will notify the users via insite notification within 1 business day of our discovery of the breach
1011,we also agree to the individual redress principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law this principle requires not only that individuals have enforceable rights against data users but also that individuals have recourse to courts or government agencies to investigate andor prosecute noncompliance by data processors
1012,
1013,ι canspam act
1014,the canspam act is a law that sets the rules for commercial email establishes requirements for commercial messages gives recipients the right to have emails stopped from being sent to them and spells out tough penalties for violations
1015,we collect your email address in order to
1016,send information respond to inquiries andor other requests or questions
1017,send you additional information related to your use of our service
1018,to be in accordance with canspam we agree to the following
1019,not use false or misleading subjects or email addresses
1020,identify the message as an advertisement in some reasonable way
1021,include the physical address of our business or site headquarters
1022,monitor thirdparty email marketing services for compliance if one is used
1023,honor optoutunsubscribe requests quickly
1024,allow users to unsubscribe by using the link at the bottom of each email
1025,if at any time you would like to unsubscribe from receiving future emails you can email us at
1026,nsfwwnymathguycom
1027,or follow the instructions at the bottom of each email and we will promptly remove you from all correspondence
1028,
1029,ω contacting us
1030,if there are any questions regarding this privacy policy you may contact us using the information below
1031,wnymathguy friendica admin
1032,206 harrogate square
1033,amherst ny 142214046
1034,united states
1035,nsfwwnymathguycom
1036,
1037,last edited on 20190301
1038,dont be a jerk this includes racism sexism transphobia including purposeful misgenderingdeadnaming bigotry doxxing etc
1039,use content warnings when appropriate
1040,no illegal shenanigans
1041,this is an 18 server
1042,podcastrelated promotion encouraged
1043,do not post or share personal information about others without their explicit consent
1044,respect the privacy settings of users posts and profiles
