Rules,Instance group
'NÃ£o Ã© permitida a criaÃ§Ã£o de robÃ´s que replicam postagens de outros usuÃ¡rios desta ou de outras plataformas de redes sociais.'],35 to 150 
"['Do not abuse this server. If the admins of social.diva.exchange do not like some content, the account will be wiped without notice. Be nice and ask in advance @social, if you have doubts.\r\n', ",150 to 500
"'Add meaningful text to your profile and post a short #introduction.', 'Regular maintenance: accounts are removed without notice after three months of inactivity. ']",150 to 500
"['No hate speech, discrimination, or oppressive language/actions. Respect pronouns and avoid harassment, stalking, bullying, doxing, or callouts.', ",150 to 500
"'Zoosexuality is accepted and supported on this instance, but no illegal content is allowed.', 'Critiques should be positive, empowering, and respectful.', ",150 to 500
"'Avoid suicide-baiting at all times.', ",150 to 500
"'Except for prohibited content listed below, NSFW artwork is allowed, but must be placed under a content warning.', 'Prohibited Content: 1. Sexually explicit real-life photos or videos.', ",150 to 500
"'Prohibited Content: 2. Suggestive or explicit content of any kind involving minors or young characters.', ",150 to 500
"'Prohibited Content: 3. Self-identification as a sadist or MAP, including dog-whistle terms like \'""paraphile"".', ",150 to 500
"'Prohibited Content: 4. Discussion about minor attraction.', ",150 to 500
'Prohibited Content: 5. Promotion of authoritarian ideologies. '],150 to 500
"['Racism, sexism, homophobia, transphobia, and other forms of discrimination are not acceptable on this server, and we have a zero-tolerance policy against it.', ",150 to 500
"'Nudity and pornographic content is not permitted, including fan art and video game content. Posts that include this content will be removed.', 'Repeated, targeted harassment against an individual or group is unacceptable behaviour, and may lead to a temporary or permanent suspension', 'Spam, advertising and bot accounts are not permitted and will be removed.', ",150 to 500
"'Content that is illegal in the United Kingdom, Germany, or the United States is strictly prohibited.', ",150 to 500
Include why you want to join in your application so that we can tell you're a human and approve you!\r\n\r\n(Make sure to check your spam folder for any approval email)],150 to 500
"['Sexually explicit or violent media must be marked as sensitive when posting', ",150 to 500
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism ', ",150 to 500
"'No incitement of violence or promotion of violent ideologies', 'No harassment, dogpiling or doxxing of other users', ",150 to 500
"'Must comply with the University\'s Acceptable Use Policy for IT <""https://up.edu.ph/aup"">']",150 to 500
"['No illegal content, e.g. child pornography, solicitation of illegal services, etcâ€¦', ",150 to 500
"'No posts or links to content supporting, featuring, or promoting hate groups, terrorism, mass violence or calls to violence.', 'No posts or comments supporting or promoting QAnon related content or similarly disproven conspiracy theories. Moderators have sole discretion to decide if a post violates this rule. Birds are real. The Earth is round. Get over it.', ",150 to 500
"'No posts or links featuring sexualized depictions of minors, whether photographic, written, drawn, anthropomorphic or animated.', 'No pornography featuring depictions of rape or non-consensual violence.', ",150 to 500
"'All other pornographic, erotic or NSFW content, whether photographic, written, drawn or animated, must be marked with a Content Warning.', 'No racism.', 'No visual content depicting executions, murder, suicide, dismemberment, visible innards, excessive gore, or charred bodies. All other violent imagery requires a Content Warning.', ",150 to 500
"'No visual content depicting animal abuse. All other posts related to animal abuse require a Content Warning.\r\n', 'No posting of malicious links.', ",150 to 500
"'No Spam (see Code of Conduct above).', ",150 to 500
"'No threats, bullying or attacks on an individual or group.', ",150 to 500
"'No encouragement or promotion of self-harm.', 'No accounts that impersonate anyone else unless clearly marked as such for the purpose of parody.', ",150 to 500
"'No Hate Speech. Hate speech is defined as derogatory posts or links targeting any individual or group based on race, mental or physical disability, religion, gender identity, sex, nationality, age, class or sexual orientation.', ",150 to 500
"'No â€œshitpostingâ€ - while humorous posts are allowed, and actually encouraged, there is no place for â€œshitpostingâ€ here.']",150 to 500
"['Be civil. No trolling, microaggressions, or harassment.\r\n', ",150 to 500
"'No NSFW content without Content Warning\r\n', ",150 to 500
"'Illegal content including pornography is not permitted. \r\n', ",150 to 500
"'Hate speech is not permitted at all. \r\n', 'Share content only that you have permission for.\r\n', ",150 to 500
"'No impersonation without clear indication. \r\n', 'No spam. \r\n']",150 to 500
"['Nothing illegal in the US.', ",150 to 500
Don't spam.],150 to 500
"['Be kind,  respectful and thoughtful.', ",150 to 500
"'Toots and Boosts should focus on SoTL issues.  ', ",150 to 500
"'No false or misleading information. No racism, sexism, homophobia, transphobia,  or xenophobia. No harassment of any kind. Nothing illegal. Nothing sexual.']",150 to 500
"['Injures, outrage et diffamation interdits.', ",150 to 500
"'Incitation Ã  la haine interdite', 'Apologie ou provocation du terrorisme interdite', ",150 to 500
"'Propos haineux interdits', 'Propos discriminatoires interdits', ",150 to 500
"'PÃ©dopornographie et rÃ©fÃ©rence pÃ©dophile interdites', ",150 to 500
"'Avertissement obligatoire pour la pornographie ou les reprÃ©sentations choquantes du corps', ",150 to 500
"'Avertissement obligatoire pour les reprÃ©sentations explicites et implicites de violence', ",150 to 500
"Avertissement obligatoire pour les reprÃ©sentations d'addiction, ",150 to 500
"'Avertissement obligatoire pour les reprÃ©sentations de soi', ",150 to 500
"'Mention explicite des biais dans les propos plausiblement dangereux (dÃ©sinformation)', ",150 to 500
"Tentatives d'escroquerie interdites, y-compris les liens, ",150 to 500
"Diffusion d'informations personnelles d'autrui interdite, ",150 to 500
"Respect obligatoire du droit d'auteur et des droits de licence, ",150 to 500
"Diffusion d'informations protÃ©gÃ©es interdite, ""Spam interdit, ainsi que toute forme d'attaque technique""]",150 to 500
"['Put NSFW content behind a content warning.', ",150 to 500
"'Do not spam the server with advertisements or blog spam. ', ",150 to 500
"'No prohibited content. See: https://triangletoot.party/about/more for a complete list.', ",150 to 500
Don't be a jerk.],150 to 500
"casteism', 'No incitement of violence or promotion of violent ideologies\r\n', ",150 to 500
"'No harassment, dogpiling or doxxing of other users\r\n', ",150 to 500
'Do not share intentionally false or misleading information'],150 to 500
"['WNYmathGuy Friendica Terms of Service', ",150 to 500
"'Last updated: Friday, March 1, 2019', ",150 to 500
"'1.\tTerms', 'By accessing the website at https://nsfw.wnymathguy.com, you are agreeing to be bound by these terms of service, all applicable laws, and regulations, and agree that you are responsible for compliance with any applicable local laws. If you do not agree with any of these terms, you are prohibited from using or accessing this site. The materials contained in this website are protected by applicable copyright and trademark law.', ",150 to 500
"'2.\tUse License', ",150 to 500
"'a. Permission is granted to store and retrieve your own files and information, as well as use the communications features and other media streaming services on the WNYmathGuy Friendica Server for personal, non-commercial purposes only. This is the grant of a license, not a transfer of title, and under this license, you may not:', ",150 to 500
"'i. modify or copy the materials of the system or that of other users;', ",150 to 500
"'ii. use the materials for any commercial purpose, or for any public display (commercial or non-commercial);', ",150 to 500
"'iii. attempt to decompile or reverse engineer any software contained on the WNYmathGuy Friendica Server or the other systems it runs on;', ",150 to 500
"'iv. remove any copyright or other proprietary notations from the materials; or', ",150 to 500
"'v. transfer the materials to another person or ""mirror"" the materials on any other server;', ",150 to 500
"'vi. do anything that is or appears to be of a criminal nature, or even act in the capacity of an accomplice to an actual or simulated criminal act, or even store evidence of any criminal act on the system.', ",150 to 500
"'b. This license shall automatically terminate if you violate any of these restrictions and may be terminated by the WNYmathGuy Friendica Server at any time. Upon terminating your viewing of these materials or upon the termination of this license, you must destroy any downloaded materials in your possession whether in electronic or printed format.', ",150 to 500
"'3.\tDisclaimer', ",150 to 500
"a. The materials on the WNYmathGuy Friendica Server are provided on an 'as is' basis. The WNYmathGuy Friendica Server makes no warranties, expressed or implied, and hereby disclaims and negates all other warranties including, without limitation, implied warranties or conditions of merchantability, fitness for a particular purpose, or non-infringement of intellectual property or other violation of rights., 'b. Further, the WNYmathGuy Friendica Server does not warrant or make any representations concerning the accuracy, likely results, or reliability of the use of the materials on its website or otherwise relating to such materials or on any sites linked to this site. It is up to the user to verify any and all claims made on this site with an independent source.',  ",150 to 500
"'4.\tLimitations', 'In no event shall the WNYmathGuy Friendica Server or its suppliers be liable for any damages (including, without limitation, damages for loss of data or profit, or due to business interruption) arising out of the use or inability to use the materials on the WNYmathGuy Friendica Server, even if the WNYmathGuy Friendica Server or a the WNYmathGuy Friendica Server authorized representative has been notified orally or in writing of the possibility of such damage. Because some jurisdictions do not allow limitations on implied warranties, or limitations of liability for consequential or incidental damages, these limitations may not apply to you.', ",150 to 500
"'5.\tAccuracy of materials', 'The materials appearing on the WNYmathGuy Friendica Server website could include technical, typographical, or photographic errors. the WNYmathGuy Friendica Server does not warrant that any of the materials on its website are accurate, complete, or current. the WNYmathGuy Friendica Server may make changes to the materials contained on its website at any time without notice. However, the WNYmathGuy Friendica Server does not make any commitment to update the materials.', ",150 to 500
"'6.\tLinks', ""The WNYmathGuy Friendica Server has not reviewed all of the sites linked to its website and is not responsible for the contents of any such linked site. The inclusion of any link does not imply endorsement by the WNYmathGuy Friendica Server of the site. Use of any such linked website is at the user's own risk."", ",150 to 500
"'7.\tModifications', ",150 to 500
"'The WNYmathGuy Friendica Server may revise these terms of service for its website at any time without notice. By using this website you are agreeing to be bound by the then current version of these terms of service.',  ",150 to 500
"'8.\tGoverning Law', ",150 to 500
"'These terms and conditions are governed by and construed in accordance with the laws of New York, United States and you irrevocably submit to the exclusive jurisdiction of the courts in that State or location.' ",150 to 500
"'âˆž.\tContacting Us', ",150 to 500
"'If there are any questions regarding this privacy policy, you may contact us using the information below.', 'WNYmathGuy Friendica Admin', '206 Harrogate Square', ",150 to 500
"'Amherst, NY 14221-4046', ",150 to 500
"'United States', ",150 to 500
"'nsfw@wnymathguy.com', ",150 to 500
"'WNYmathGuy Friendica Server Privacy Policy at nsfw.wnymathguy.com', ",150 to 500
"'Last updated: Friday, March 1, 2019', ",150 to 500
"This privacy policy has been compiled to better serve those who are concerned with how their 'Personally Identifiable Information' (PII) is being used online. PII, as described in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect, or otherwise handle your Personally Identifiable Information in accordance with our website.,  ",150 to 500
"'Î±\tWhat personal information do we collect from the people that visit our social networking, communication, and information sharing site?', ""When registering on our site, as appropriate, you may be asked to enter your name, eMail address, mailing address, phone number, Social Media User ID's or other details to help you with your experience."", ",150 to 500
"At the time of registration, and for providing communications between the user account and their contacts, the user has to provide a display name (pen name), a username (nickname), and a working email address. The names will be accessible on the profile page of the account by any visitor of the page, even if other profile details are not displayed. The email address will only be used to send the user notifications about interactions, but wonâ€™t be visibly displayed. The listing of an account in the node's user directory or the global user directory is optional and can be controlled in the user settings, it is not necessary for communication., ",150 to 500
"This information is required for communication and is passed on to the nodes of the communication partners and is stored there. Users can enter additional personal information that may be transmitted to the communication partner's accounts., ",150 to 500
"'At any point in time, a logged-in user can export their account data from the account settings. If the user wants to delete their account they can do so at http://nsfw.wnymathguy.com/removeme. The deletion of the account will be permanent. Deletion of the data will also be requested from the nodes of the communication partners.',",150 to 500
"'Î²\tWhen do we collect information?', ",150 to 500
"'We collect information from you when you register on our site, respond to a non-anonymous survey, fill out a form specific to your identity, use Live Chat, or enter information on our site. Provide us with feedback on our products or services.', ",150 to 500
"'Î³\tHow do we use your information?', ",150 to 500
"'We may use the information we collect from you when you register, respond to a survey, surf the website, or use certain other site features in the following ways:', ",150 to 500
"'â€¢ To personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested.', ",150 to 500
"'â€¢ To allow us to better service you in responding to your customer service requests.', ",150 to 500
"'â€¢ To send periodic eMails regarding your usage or other products and services.',  ",150 to 500
"'Î´\tHow do we protect your information?', 'We do use vulnerability scanning and/or scanning to PCI standards. We only provide storage of your content and other information streams. We never ask for credit card numbers. We use regular Malware Scanning.', 'Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential. In addition, all sensitive information you supply is encrypted via Secure Socket Layer (SSL) technology.', ",150 to 500
"'We implement a variety of security measures when a user enters, submits, or accesses their information to maintain the safety of your personal information.', ",150 to 500
"Îµ\tDo we use 'cookies'?, ",150 to 500
"Yes. Cookies are small files that a site or its service provider transfers to your computer's hard drive through your Web browser (if you allow) that enables the site's or service provider's systems to recognize your browser and capture and remember certain information. For instance, we use cookies to help us remember and process the preferences you store. They are also used to help us understand your preferences based on previous or current site activity, which enables us to provide you with improved services. We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future., 'We use cookies to:', ""â€¢ Understand and save user's preferences for future visits."", ",150 to 500
"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser settings. Since each browser is a little different, look at your browser's Help Menu to learn the correct way to modify your cookies., 'If users disable cookies in their browser:', ",150 to 500
"'â€¢ Some of the features that make your site experience more efficient may not function properly.', ",150 to 500
"'Third-party disclosure:', ",150 to 500
"'â€¢ We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information.', ",150 to 500
"'Third-party links:', ",150 to 500
"'â€¢ We do not include or offer third-party products or services on our website.', ",150 to 500
"'Google:', ",150 to 500
"â€¢ Google's advertising requirements can be summed up by Google's Advertising Principles., ",150 to 500
"'â€¢ They are put in place to provide a positive experience for users.', ",150 to 500
"'â€¢ https://support.google.com/adwordspolicy/answer/1316548?hl=en', ",150 to 500
"'â€¢ We do not use Google AdSense Advertising on our website.', ",150 to 500
"'We have implemented the following:', ",150 to 500
"'â€¢ California Online Privacy Protection Act', ",150 to 500
"CalOPPA is the first state law in the nation to require commercial websites and online services to post a privacy policy. The law's reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared. - See more at http://consumercal.org/california-online-privacy-protection-act-caloppa/#sthash.0FdRbT51.dpuf, ",150 to 500
"'According to CalOPPA, we agree to the following:', ",150 to 500
"'â€¢ Users can visit our site anonymously.', ",150 to 500
"'â€¢ Once this privacy policy is created, we will add a link to it on our homepage or as a minimum, on the login page for entering our website.', ",150 to 500
"â€¢ Our Privacy Policy link is identified by the words 'Terms of Service' and can easily be found on the https://nsfw.wnymathguy.com page by clicking the question mark icon at the top right corner of the site., ",150 to 500
"'You will be notified of any Privacy Policy changes:', ",150 to 500
"â€¢ Via eMail, or an affirmation window during normal use of the site's services, or via the TOS page at this link https://nsfw.wnymathguy.com/tos, ",150 to 500
"'You can change your personal information:', ",150 to 500
"'â€¢ By logging in to your account and editing via the Profile sub-tab of your Home tab', ",150 to 500
"'â€¢ By chatting with us or by sending us a support request via eMail', 'â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”', ",150 to 500
"'Î¶\tHow does our site handle Do Not Track signals?', ",150 to 500
"'We honor Do Not Track signals and Do Not Track, plant cookies, or use advertising when a Do Not Track (DNT) browser mechanism is in place.', ",150 to 500
"'â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”', ",150 to 500
"'Î·\tDoes our site allow third-party behavioral tracking?', ",150 to 500
"It's also important to note that we do not allow third-party behavioral tracking, ",150 to 500
"'COPPA (Children Online Privacy Protection Act)', ",150 to 500
"When it comes to the collection of personal information from children under the age of 13 years old, the Children's Online Privacy Protection Act (COPPA) puts parents in control. The Federal Trade Commission, United States' consumer protection agency, enforces the COPPA Rule, which spells out what operators of websites and online services must do to protect children's privacy and safety online., ",150 to 500
"'We do not specifically market to children under the age of 13 years old.', ",150 to 500
"'We do not let third-parties, including ad networks or plug-ins, collect PII from children under 13.', ",150 to 500
"'Î¸\tFair Information Practices', ",150 to 500
"'The Fair Information Practices Principles form the backbone of privacy law in the United States and the concepts they include have played a significant role in the development of data protection laws around the globe. Understanding the Fair Information Practice Principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information.', ",150 to 500
"'In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:', ",150 to 500
"'â€¢ We will notify you via eMail', ",150 to 500
"'â€¢ We will notify the users via in-site notification within 1 business day of our discovery of the breach', ",150 to 500
"'We also agree to the Individual Redress Principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law. This principle requires not only that individuals have enforceable rights against data users, but also that individuals have recourse to courts or government agencies to investigate and/or prosecute non-compliance by data processors.', ",150 to 500
"'Î¹\tCAN-SPAM Act', ",150 to 500
"'The CAN-SPAM Act is a law that sets the rules for commercial eMail, establishes requirements for commercial messages, gives recipients the right to have eMails stopped from being sent to them, and spells out tough penalties for violations.', ",150 to 500
"'We collect your email address in order to:', ",150 to 500
"'â€¢ Send information, respond to inquiries, and/or other requests or questions', ",150 to 500
"'â€¢ Send you additional information related to your use of our service', ",150 to 500
"'To be in accordance with CAN-SPAM, we agree to the following:', ",150 to 500
"'â€¢ Not use false or misleading subjects or eMail addresses.', ",150 to 500
"'â€¢ Identify the message as an advertisement in some reasonable way.', ",150 to 500
"'â€¢ Include the physical address of our business or site headquarters.', ",150 to 500
"'â€¢ Monitor third-party eMail marketing services for compliance, if one is used.', ",150 to 500
"'â€¢ Honor opt-out/unsubscribe requests quickly.', ",150 to 500
"'â€¢ Allow users to unsubscribe by using the link at the bottom of each eMail.', ",150 to 500
"'If at any time you would like to unsubscribe from receiving future eMails, you can eMail us at:', ",150 to 500
"'â€¢ nsfw@wnymathguy.com,', ",150 to 500
"'â€¢ or follow the instructions at the bottom of each eMail and we will promptly remove you from ALL correspondence.',  ",150 to 500
"'Ï‰\tContacting Us', ",150 to 500
"'If there are any questions regarding this privacy policy, you may contact us using the information below.', ",150 to 500
"'WNYmathGuy Friendica Admin', ",150 to 500
"'206 Harrogate Square', ",150 to 500
"'Amherst, NY 14221-4046', ",150 to 500
"'United States', ",150 to 500
"'nsfw@wnymathguy.com', ",150 to 500
'Last Edited on 2019-03-01'],150 to 500
"[""Don't be a dick. - The universal rule"", ",150 to 500
"'Slurs and hate speech are not tolerated.', ",150 to 500
"'Use CW tags for Gore and other NSFW posts. ', ",150 to 500
"Don't do anything that would cause another instance to defed (completely block) our instance. When I receive reports, I will take the steps necessary to resolve the remote grievance if I find it has merit, and I will reach out to you via DM to inform you of the decision I've made., 'Observe Mastodon etiquette as best as we can. A majority of us are new to this network that has been around for many years and has its own culture.', ",150 to 500
"'No content that is considered illegal in the United States', ",150 to 500
"'No posting misinformation or misleading information.', ",150 to 500
"'No harassment, dogpiling or doxxing of other users']",150 to 500
"['Geht freundlich und positiv miteinander um.', ",150 to 500
"'Wir mÃ¶gen BDSM-Inhalte. Kennzeichnet NSFW-Inhalte!', ",150 to 500
"'Illegale Inhalte haben hier nichts zu suchen', ",150 to 500
"'Alle Menschen sind toll! - Rassismus, Hate-Speech, Rechte Parolen und Co. fÃ¼hren zur sofortigen Verbannung', ",150 to 500
"'Beitritt ab 18 Jahre!', ",150 to 500
"'Wir haben Stil und SpaÃŸ am miteinander', ",150 to 500
"'Wenn du nicht mÃ¶chtest, dass etwas geteilt, geboostert (wie Retweet) oder Ã¶ffentlich angezeigt werden kann, dann poste es nicht!', ",150 to 500
"'Wenn ihr auf eigene Shops und Produkte verlinkt, tut dies bitte nicht stÃ¤ndig und markiert die BeitrÃ¤ge mit #ad oder #werbung. So kÃ¶nnen Nutzer diese Hashtags filtern, wenn sie das nicht sehen mÃ¶chten.']",150 to 500
"['Be polite and respectful, always!\r\nFact-check your content before publishing.\r\nPlease do your part to stop the flow of ""fake news""\r\nMAKE SURE you have the right to share the content from everyone involved, everyone involved is at least 18 years, and content is legal before publishing.']",150 to 500
"['No body shaming, ageism, casteism, racism, sexism, homophobia, transphobia, or xenophobia', ",150 to 500
"'No harassment, dogpiling, or doxxing of any user', ",150 to 500
"'No predatory marketing practices', ",150 to 500
"'No intentionally false or misleading information', ",150 to 500
"'No non-sexual nudity that directs to sex businesses or accounts', ",150 to 500
"'No non-consensual media containing nudity', ",150 to 500
"'No incitement of violence or promotion of violent ideologies', ",150 to 500
"'Mark violent media with a content warning', ",150 to 500
"'Mark sexually-explicit nudity with a content warning', ",150 to 500
"Mark AI-generated accounts as AI-generated in the account's description., ",150 to 500
"'Complete your account with a profile picture, cover picture, and description']",150 to 500
"[""Be civil: don't flame, harass, doxx, or dogpile. When disagreeing with others, don't resort to name calling or bad faith arguments."", ",150 to 500
"Be decent: don't post obscene or offensive content such as porn, gore, or sexualization of minors. Anything potentially shocking should be put behind adequate content warnings, ",150 to 500
"Be woke: don't post bigoted content and don't glorify or advocate for violence, ",150 to 500
"Be law-abiding: don't post any content illegal under US laws such as copyrighted material, ",150 to 500
"Be a good neighbor: don't cause trouble with Reddit or other Fediverse instances, ",150 to 500
"Be honest: don't post deliberate misinformation unless it's really funny like convincing someone to eat the stickers on fruit, ",150 to 500
"Don't spam: treat the Fediverse as a place for conversation, not a captive audience, ",150 to 500
"Other: Feel free to report content that doesn't violate the letter of the rules, and please understand that mods may take action even when content doesn't break the letter of the rules]",150 to 500
"['Provide relevant content warnings on potentially sensitive posts, spoilers, and other content that not everyone may want to see. This includes any adult, sexually explicit, violent or other graphic content.', ",150 to 500
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', ",150 to 500
"'No incitement of violence or promotion of violent ideologies', ",150 to 500
"'No harassment, dogpiling or doxxing of other users', ",150 to 500
"'No content illegal in in the United States', ",150 to 500
"'Do not share intentionally false or misleading information', 'Behavior/content that undermines privacy or security expectations is not allowed']",150 to 500
"['ãƒãƒ«ãƒŽãƒ»çŒ¥é›‘ãªæŠ•ç¨¿ã¯ã”é æ…®ãã ã•ã„ã€‚ãã®ä»–æ€§çš„ãƒ»æš´åŠ›è¡¨ç¾ã‚’å«ã‚€å¯èƒ½æ€§ãŒã‚ã‚‹ã‚‚ã®ã¯æŠ•ç¨¿æ™‚ã«å¿…ãšé–²è¦§æ³¨æ„ã‚„CWã‚’ä½¿ã£ã¦ãã ã•ã„ã€‚No pornography. Other sexually explicit or violent contents must be marked as sensitive or CW when posting.', ",150 to 500
"'äººç¨®å·®åˆ¥ã€æ€§å·®åˆ¥ã€åŒæ€§æ„›å«Œæ‚ªã€ãƒˆãƒ©ãƒ³ã‚¹ãƒ•ã‚©ãƒ“ã‚¢ã€å¤–å›½äººå«Œæ‚ªã€éšœç¢è€…å·®åˆ¥ã€ã‚«ãƒ¼ã‚¹ãƒˆä¸»ç¾©ãªã©ã€ã‚ã‚‰ã‚†ã‚‹å·®åˆ¥ã‚’åŠ©é•·ã™ã‚‹ã‚ˆã†ãªæŠ•ç¨¿ãƒ»ãƒ˜ã‚¤ãƒˆç™ºè¨€ã¯ä¸€åˆ‡ç¦æ­¢ã§ã™ã€‚Zero tolerance for any discrimination, e.g., racism, sexism, homophobia, transphobia, xenophobia, ableism, and casteism. ', ",150 to 500
"'ä»–ã®ãƒ¦ãƒ¼ã‚¶ãƒ¼ã«å¯¾ã™ã‚‹å«ŒãŒã‚‰ã›ã‚„è„…è¿«ã€çŠ¬ç¬›è¡Œç‚ºã‚’ã—ã¦ã¯ã„ã‘ã¾ã›ã‚“ã€‚No harassment, dogpiling or doxxing of other users.', 'æš´åŠ›ã‚„æš´åŠ›çš„ãªã‚¤ãƒ‡ã‚ªãƒ­ã‚®ãƒ¼ã‚’æ‰‡å‹•ãƒ»å¥¨åŠ±ã—ã¦ã¯ã„ã‘ã¾ã›ã‚“ã€‚No incitement of violence or promotion of violent ideologies.', 'æ„å›³çš„ã«èª¤è§£ã‚’æ‹›ãã‚ˆã†ãªæƒ…å ±ã‚„ã‚ã–ã¨å½æƒ…å ±ã‚’æµã—ã¦ã¯ã„ã‘ã¾ã›ã‚“ã€‚Do not share intentionally false or misleading information.', ",150 to 500
"'ã‚ªãƒ³ã‚¿ãƒªã‚ªå·žï¼ˆã‚«ãƒŠãƒ€ï¼‰ã¾ãŸã¯æ—¥æœ¬ã®æ³•å¾‹ã§é•æ³•ã¨ãªã‚‹æŠ•ç¨¿ã¯ç¦æ­¢ã§ã™ã€‚No content illegal in Ontario (Canada) nor Japan.', 'ãƒ‘ãƒ­ãƒ‡ã‚£ãƒ¼ãƒ»ãªã‚Šã™ã¾ã—ã‚¢ã‚«ã‚¦ãƒ³ãƒˆã¯ç¦æ­¢ã§ã™ã€‚Parody and accounts intended to impersonate are prohibited.', 'ä¸é©åˆ‡ãªæŠ•ç¨¿ã‚„ã‚¢ã‚«ã‚¦ãƒ³ãƒˆã¯äºˆå‘Šãªã—ã«å‰Šé™¤ãƒ»å‡çµã•ã‚Œã‚‹å ´åˆãŒã‚ã‚Šã¾ã™ã€‚Our moderation team preserves the right to delete harmful posts and suspend suspicious accounts without any notice.', ",150 to 500
"'åŒã˜å†…å®¹ã®éŽåº¦ãªé€£æŠ•ã‚„è‡ªå‹•ãƒ•ã‚©ãƒ­ãƒ¼ãªã©ã€ã‚µãƒ¼ãƒãƒ¼ã¸æ„å›³çš„ã«è² è·ã‚’ã‹ã‘ã‚‹è¡Œç‚ºã¯ç¦æ­¢ã§ã™ã€‚Do not intentionally overload the server, e.g., post fraud or automatic following.', ",150 to 500
'æ€§çš„ãªåŒæ„ã‚’ã™ã‚‹ã“ã¨ãŒã§ããªã„ä¸»ä½“ã«å¯¾ã™ã‚‹æ€§çš„æ¬²æ±‚ã®ç™ºéœ²ãƒ»è¡¨ç¾ã‚’ã™ã‚‹è¡Œå‹•ã‚’ã¨ã‚‹ã“ã¨ã¯ç¦æ­¢ã§ã™ã€‚ No Pedophilia nor Zoophilia.'],150 to 500
"[""Don't be a dick."", ",150 to 500
"'No bulk posting to the public timeline (i.e., flooding).', ",150 to 500
"'Sensitive content including pornography, sexually explicit content, gore, and extreme violence (including artistic depictions) must include a Content Warning.', ",150 to 500
"'Discrimination or advocation of racism, sexism, casteism, homophobia, transphobia, Nazism, xenophobia, or nationalism will not be tolerated.', 'No sexual depictions of children, including artistic depictions.']",150 to 500
"['El discurso de odio y el comportamiento abusivo o amenazante no estÃ¡n permitidos, especÃ­ficamente aquellos dirigidos a cualquier gÃ©nero, nacionalidad, religiÃ³n, raza, edad, preferencia de ingredientes de pizza o identidad sexual.', ",150 to 500
"'No difusiÃ³n de contenido/actividad ilegales en Paraguay\r\nEl contenido ilegal, como la pornografÃ­a infantil entre otros, como es de esperarse no estÃ¡ permitido', ",150 to 500
"'No se permite el spam, esto incluye la creaciÃ³n de cuentas de spam que solo sirven para proporcionar enlaces de perfil o publicitar productos y servicios.', ",150 to 500
"'No puede hacerse pasar por una persona o marca sin una indicaciÃ³n clara de que la cuenta no es oficial y/o es una parodia. Se permiten las cuentas de parodia, al igual que las cuentas de marca legÃ­timas.', ",150 to 500
"'Publicaciones explÃ­citas deben marcarse con advertencia de contenido/content warning', ",150 to 500
"'No contenido o apologÃ­a a la violencia, fascismo o nazismo', ",150 to 500
'La violaciÃ³n de una o mÃ¡s de estas reglas puede resultar en ban inmediato y permanente sin previo aviso o advertencia.'],150 to 500
"['Treat people with kindness ðŸ’–', ",500 to 1500 
"'No racism, homophobia, xenophobia, sexism, discrimination, nazis. ðŸ›‘', ",500 to 1500 
"'Report bad or suspicious activity âš ï¸  Use the block button when needed ðŸš« ',",500 to 1500 
" 'Use a Content Warning (CW) when posting sexual, graphic, and potentially triggering subject matters ðŸ«£', ",500 to 1500 
"'Think carefully before sharing personal information ðŸ” ', ",500 to 1500 
'Bleep-bloop-bleep. No robots ðŸ¤– '],500 to 1500 
" 'This includes content that is particularly provocative even if it may not show specific body parts, as well as dead bodies, bloody injuries, and other gore. Particularly obscene content may be prohibited entirely. Profile pictures and header images may not contain sexually explicit or violent media.', 'Transphobic behavior such as intentional misgendering and deadnaming is strictly prohibited. Promotion of ""conversion therapy"" is strictly prohibited. Criticism of governments and religions is permissible unless being used as a proxy for discrimination.', ",500 to 1500 
"'Calling for people or groups to be assassinated, murdered, or attacked physically is strictly prohibited. Support for violent groups or events is prohibited.', ",500 to 1500 
"'Repeat attempts to communicate with users who have blocked you or creation of accounts solely to harass or insult individuals is strictly prohibited. Coordinated activity to attack other users is prohibited. Posting of private personal information about others is prohibited.', ",500 to 1500 
"'False and misleading information and links from low-quality sources may not be posted, especially if they are likely to mislead or confuse others or endanger their safety.', ",500 to 1500 
