,instance,rule,preprocessed rules,lang
268,ruhr.social,Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).,halte dich an die in deutschland geltenden gesetze verbietet ua auch gewaltverherrlichende inhalte,non-Englsih
269,ruhr.social,"Nutze Inhaltswarnungen für Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrührerischen oder triggernden Themen",nutze inhaltswarnungen für posts und nsfwmarker bei medien im falle von kontroversen aufrührerischen oder triggernden themen,non-Englsih
270,ruhr.social,Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht,nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht,non-Englsih
271,vis.social,"NO RACISM, SEXISM, HOMOPHOBIA, TRANSPHOBIA OR XENOPHOBIA.",no racism sexism homophobia transphobia or xenophobia,non-Englsih
272,vis.social,"TOPIC: vis.social is a topical server focused particularly on SciArt, SciComm, Data, Visualization, Creative Coding and related topics. There is no reporting of “off-topic” posts, but the central idea of the server is to gather a community around these shared interests.
",topic vissocial is a topical server focused particularly on sciart scicomm data visualization creative coding and related topics there is no reporting of offtopic posts but the central idea of the server is to gather a community around these shared interests,English
273,vis.social,"LANGUAGE: English is the common language of the instance. Other languages are welcome, but please be kind and post English translations so that we can all read your posts.",language english is the common language of the instance other languages are welcome but please be kind and post english translations so that we can all read your posts,English
274,vis.social,"INCLUSION: We want everyone to feel welcome, safe, and respected. This is a free service. Please be welcoming and kind to everyone, especially when you have a difference of opinion. Then, be *extra* kind. :-)
",inclusion we want everyone to feel welcome safe and respected this is a free service please be welcoming and kind to everyone especially when you have a difference of opinion then be extra kind,English
275,vis.social,"HARASSMENT: If you experience or notice any harassment or other aggressive behaviors, report it—by clicking on the three dots next to the message or profile and selecting “Report @personname”) and help keeping this platform a safe space for everyone.",harassment if you experience or notice any harassment or other aggressive behaviors report itby clicking on the three dots next to the message or profile and selecting report personname and help keeping this platform a safe space for everyone,English
276,vis.social,"AI Images: Please do not use vis.social to share your creations from text-to-image tools such as MidJourney or Stable Diffusion. We welcome critical discussion of these tools, particularly about the legal and ethical issues surrounding these tools and the implications for artists and society",ai images please do not use vissocial to share your creations from texttoimage tools such as midjourney or stable diffusion we welcome critical discussion of these tools particularly about the legal and ethical issues surrounding these tools and the implications for artists and society,English
277,vis.social,"No NFTs: We know many people involved in computational art sell NFTs. However, on vis.social we’ve made the decision that we don’t want to be involved in NFTs. So we’d love to see your art, but we ask that you don’t post your NFTs here.",no nfts we know many people involved in computational art sell nfts however on vissocial weve made the decision that we dont want to be involved in nfts so wed love to see your art but we ask that you dont post your nfts here,English
278,vis.social,"No bots. If you’d like to experiment with bots, creating a dedicated instance could be an option for you.
",no bots if youd like to experiment with bots creating a dedicated instance could be an option for you,English
279,vis.social,"CWs: the moderation team may ask you to add CW's to off-topic posts that contain photos or text about food, alcohol, and other topics, in an attempt to be a more inclusive and welcoming instance.  On our ToDo-list: writing about why we ask this. ",cws the moderation team may ask you to add cws to offtopic posts that contain photos or text about food alcohol and other topics in an attempt to be a more inclusive and welcoming instance on our todolist writing about why we ask this,English
280,vis.social,"CW on AI topics. Please add CW for posts about AI, especially tools like ChatGPT. ",cw on ai topics please add cw for posts about ai especially tools like chatgpt,English
281,vis.social,"Joining Vis.Social: please tell us about your interest in this instance and it's topics. Tell us a little about you, your interests. Be sure to mention Green Apple candy in your application. Yes, it's a test to see if you've read the instance rules.",joining vissocial please tell us about your interest in this instance and its topics tell us a little about you your interests be sure to mention green apple candy in your application yes its a test to see if youve read the instance rules,English
282,social.politicaconciencia.org,Todo miembro de la instancia social.politicaconciencia.org acepta de manera voluntaria los Términos del servicio.,todo miembro de la instancia socialpoliticaconcienciaorg acepta de manera voluntaria los términos del servicio,non-Englsih
283,social.politicaconciencia.org,"Todo miembro de esta instancia se obliga voluntariamente a respetar cada uno de los puntos del código de conducta. De no hacerlo, recibirá hasta un máximo de tres llamadas de atención, dependiendo de la severidad de la falta. En caso de reincidencia, su cuenta será cancelada.",todo miembro de esta instancia se obliga voluntariamente a respetar cada uno de los puntos del código de conducta de no hacerlo recibirá hasta un máximo de tres llamadas de atención dependiendo de la severidad de la falta en caso de reincidencia su cuenta será cancelada,non-Englsih
284,social.politicaconciencia.org,"Todo miembro de la instancia social.politicaconciencia.org se compromete a respetar las indicaciones, sugerencias o peticiones directas que le realice el equipo de administración. No hacerlo es causa de suspensión de la cuenta.",todo miembro de la instancia socialpoliticaconcienciaorg se compromete a respetar las indicaciones sugerencias o peticiones directas que le realice el equipo de administración no hacerlo es causa de suspensión de la cuenta,non-Englsih
285,social.politicaconciencia.org,El equipo de administración de social.politicaconciencia.org está obligado a resolver los problemas que surjan de la interacción entre los miembros de la instancia.,el equipo de administración de socialpoliticaconcienciaorg está obligado a resolver los problemas que surjan de la interacción entre los miembros de la instancia,non-Englsih
286,social.politicaconciencia.org,"Se permite la expresión libre de las ideas sin importar las creencias, las convicciones políticas o religiosas de los miembros de la instancia, siempre y cuando no contradigan algún punto del código de conducta.",se permite la expresión libre de las ideas sin importar las creencias las convicciones políticas o religiosas de los miembros de la instancia siempre y cuando no contradigan algún punto del código de conducta,non-Englsih
287,social.politicaconciencia.org,"No está permitido el uso de palabras altisonantes, frases, albures, composiciones lingüísticas, etc., empleadas con el propósito claro de ofender, denigrar, humillar o difamar a cualquier miembro de la instancia o del fediverso.",no está permitido el uso de palabras altisonantes frases albures composiciones lingüísticas etc empleadas con el propósito claro de ofender denigrar humillar o difamar a cualquier miembro de la instancia o del fediverso,non-Englsih
288,social.politicaconciencia.org,"Está prohibido el uso de imágenes o material multimedia (audio, video, gifs animados, etc.,) destinados a ofender, denigrar, humillar o difamar a cualquier miembro de la instancia o del fediverso.",está prohibido el uso de imágenes o material multimedia audio video gifs animados etc destinados a ofender denigrar humillar o difamar a cualquier miembro de la instancia o del fediverso,non-Englsih
289,social.politicaconciencia.org,"Se prohíbe cualquier forma de discriminación, ya sea por género, condición económica, nacionalidad, condición de salud o similares, en contra de cualquier miembro de la instancia o del fediverso.",se prohíbe cualquier forma de discriminación ya sea por género condición económica nacionalidad condición de salud o similares en contra de cualquier miembro de la instancia o del fediverso,non-Englsih
290,social.politicaconciencia.org,"Cuando un miembro de la instancia desconozca un tema, queda prohibido responder en términos que lo disuadan de manifestar sus dudas. Siempre que le sea posible,  cada usuario debe ayudar a disipar los vacíos de conocimiento. Nadie puede ser discriminado por su nivel de conocimiento.",cuando un miembro de la instancia desconozca un tema queda prohibido responder en términos que lo disuadan de manifestar sus dudas siempre que le sea posible cada usuario debe ayudar a disipar los vacíos de conocimiento nadie puede ser discriminado por su nivel de conocimiento,non-Englsih
291,social.politicaconciencia.org,"Durante el proceso para dirimir una controversia, no se considerará como razón válida en su defensa el que un usuario alegue que desconoce los términos del servicio o el código de conducta para justificar la realización de acciones que vayan en su contra. Es deber de todos los usuarios conocerlos.",durante el proceso para dirimir una controversia no se considerará como razón válida en su defensa el que un usuario alegue que desconoce los términos del servicio o el código de conducta para justificar la realización de acciones que vayan en su contra es deber de todos los usuarios conocerlos,non-Englsih
292,social.politicaconciencia.org,"Para la buena convivencia, los debates  deben favorecer la exposición de los argumentos y no centrarse en ataques contra el objeto o tema del que se hable, ni en contra de la persona que lo expone. Con ello se busca procurar conversaciones constructivas con contenido informativo enriquecedor.",para la buena convivencia los debates deben favorecer la exposición de los argumentos y no centrarse en ataques contra el objeto o tema del que se hable ni en contra de la persona que lo expone con ello se busca procurar conversaciones constructivas con contenido informativo enriquecedor,non-Englsih
293,social.politicaconciencia.org,"Se prohíbe subir, compartir o divulgar material pornográfico de cualquier índole, incluida la pedofilia. Infringir este punto es causa de revocación inmediata de la cuenta de usuario.",se prohíbe subir compartir o divulgar material pornográfico de cualquier índole incluida la pedofilia infringir este punto es causa de revocación inmediata de la cuenta de usuario,non-Englsih
294,social.politicaconciencia.org,"El material artístico con contenido sexual explícito está permitido; no obstante, debe ser marcado como material sensible (CW). De lo contrario, podría ser eliminado.",el material artístico con contenido sexual explícito está permitido no obstante debe ser marcado como material sensible cw de lo contrario podría ser eliminado,non-Englsih
295,social.politicaconciencia.org,"El material audiovisual (imágenes, audio, video, gifs, etc.,) cuyo contenido sea definible como violento, necesariamente debe ser marcado como material sensible (CW). De otra forma, podrá ser eliminado.",el material audiovisual imágenes audio video gifs etc cuyo contenido sea definible como violento necesariamente debe ser marcado como material sensible cw de otra forma podrá ser eliminado,non-Englsih
296,social.politicaconciencia.org,Esta instancia no puede ser usada para la realización de actividades consideradas como delictivas por la legislación vigente en México.,esta instancia no puede ser usada para la realización de actividades consideradas como delictivas por la legislación vigente en méxico,non-Englsih
297,social.politicaconciencia.org,Casos no previstos aquí serán resueltos por los administradores de la instancia social.politicaconciencia.org,casos no previstos aquí serán resueltos por los administradores de la instancia socialpoliticaconcienciaorg,non-Englsih
314,mastodontti.fi,Ei mainostamiseen tarkoitettuja tilejä.,ei mainostamiseen tarkoitettuja tilejä,non-Englsih
315,mastodontti.fi,Ei botteja.,ei botteja,non-Englsih
316,mastodontti.fi,"Ei pornografista, seksuaalista tai ylettömän väkivaltaista sisältöä.
",ei pornografista seksuaalista tai ylettömän väkivaltaista sisältöä,non-Englsih
317,mastodontti.fi,"Palvelimella ei sallita rasismia, seksismiä, transfobiaa, tai muuta vähemmistöön kohdistuvaa syrjintää.",palvelimella ei sallita rasismia seksismiä transfobiaa tai muuta vähemmistöön kohdistuvaa syrjintää,non-Englsih
318,mastodontti.fi,"Palvelimella ei sallita Suomessa laittomia asioita.
",palvelimella ei sallita suomessa laittomia asioita,non-Englsih
319,mastodontti.fi,"Ei häirintää, doksausta, valheellisen tiedon levittämistä tai muina esiintymistä.
",ei häirintää doksausta valheellisen tiedon levittämistä tai muina esiintymistä,non-Englsih
320,mastodontti.fi,"Mastodontti.fi on tarkoitettu aikuisille ihmisille, ei organisaatioille tai yhteisöille.",mastodonttifi on tarkoitettu aikuisille ihmisille ei organisaatioille tai yhteisöille,non-Englsih
321,toot.io,First think then post - preferred in English.,first think then post preferred in english,English
322,toot.io,Be respectful of others.,be respectful of others,English
323,toot.io,"Disagreement and debate are great, but personal attacks will not be tolerated.",disagreement and debate are great but personal attacks will not be tolerated,English
324,toot.io,We have a zero tolerance for any kind of hateful messaging.,we have a zero tolerance for any kind of hateful messaging,English
325,toot.io,No bots. No ads.,no bots no ads,non-Englsih
326,toot.io,No porn or nudity.,no porn or nudity,English
327,toot.io,"No discrimination -- including racism, sexism, homophobia or transphobia.",no discrimination including racism sexism homophobia or transphobia,English
328,toot.io,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
329,toot.io,No spam or posting of malicious links.,no spam or posting of malicious links,English
330,toot.io,Preferably use the Mastodon verification feature. A company profile using a Gmail address is SEO spam!,preferably use the mastodon verification feature a company profile using a gmail address is seo spam,English
331,social.linux.pizza,Dont post NSFW without CW,dont post nsfw without cw,English
332,social.linux.pizza,"Dont post ads without permission
",dont post ads without permission,English
333,social.linux.pizza,"Dont promote violence, racism and/or discrimination towards other people of other ethnical backgrounds or sexual orientation",dont promote violence racism andor discrimination towards other people of other ethnical backgrounds or sexual orientation,English
334,social.linux.pizza,We dont want crypto-ads here aswell.,we dont want cryptoads here aswell,English
335,social.linux.pizza,"Dont be rude, keep conversations civil and kind.",dont be rude keep conversations civil and kind,non-Englsih
336,social.linux.pizza,All public posts from this instance are indexed by tootfinder.ch.,all public posts from this instance are indexed by tootfinderch,English
337,social.linux.pizza,"Do not flood the timeline with posts. If you still want to do that - please set the posts as ""unlisted"".",do not flood the timeline with posts if you still want to do that please set the posts as unlisted,English
338,socel.net,Be excellent to each other,be excellent to each other,English
339,socel.net,"Pornography or Rule 34 content of any kind is not permitted. NSFW content (i.e. artistic nudity) must be hidden behind a content warning, the NSFW filter, or marked as unlisted/private. ",pornography or rule 34 content of any kind is not permitted nsfw content ie artistic nudity must be hidden behind a content warning the nsfw filter or marked as unlistedprivate,English
340,socel.net,"Incessant posting, soapboxing, campaigning, or harassment for any cause/belief/opinion violates rule no. 1 and is not tolerated. Accounts that engage in such behaviour publicly or direct it towards other users will be terminated.",incessant posting soapboxing campaigning or harassment for any causebeliefopinion violates rule no 1 and is not tolerated accounts that engage in such behaviour publicly or direct it towards other users will be terminated,English
341,socel.net,"Please do not spam or advertise for third parties/sponsors. This includes and is not limited to: selling items that are not your own creation, selling toots or offering toots for sale, and acting as a dealer engaged in trade. ",please do not spam or advertise for third partiessponsors this includes and is not limited to selling items that are not your own creation selling toots or offering toots for sale and acting as a dealer engaged in trade,English
342,socel.net,Please report violations of these rules to the admin.,please report violations of these rules to the admin,English
343,socel.net,This instance is hosted by Masto.host and abides by its terms of service. The server is located in the EU in France and obeys all applicable laws.,this instance is hosted by mastohost and abides by its terms of service the server is located in the eu in france and obeys all applicable laws,English
344,socel.net,Using Socel to circumvent restrictions or suspensions on other fediverse servers will result in your account being immediately terminated without warning.,using socel to circumvent restrictions or suspensions on other fediverse servers will result in your account being immediately terminated without warning,English
345,socel.net,"NFT and other blockchain-based works in any form are prohibited; even if they are your own creation. Please do not post, share, promote, offer for sale, or otherwise engage in trade, any work based on these technologies.",nft and other blockchainbased works in any form are prohibited even if they are your own creation please do not post share promote offer for sale or otherwise engage in trade any work based on these technologies,English
346,social.anoxinon.de,Geht respektvoll und nett miteinander um!,geht respektvoll und nett miteinander um,non-Englsih
347,social.anoxinon.de,"Beiträge mit rassistischen, illegalen, pornografischen oder gewaltverherrlichenden Inhalten sind strengstens untersagt. Zudem gelten allgemein deutsche Gesetze.",beiträge mit rassistischen illegalen pornografischen oder gewaltverherrlichenden inhalten sind strengstens untersagt zudem gelten allgemein deutsche gesetze,non-Englsih
348,social.anoxinon.de,"Beleidigungen und Belästigungen sind generell verboten. Darunter fallen auch jegliche Formen der Diffamierung, Hetze, übler Nachrede und dergleichen.",beleidigungen und belästigungen sind generell verboten darunter fallen auch jegliche formen der diffamierung hetze übler nachrede und dergleichen,non-Englsih
349,social.anoxinon.de,"Konten für kommerzielle Zwecke erfordern eine schriftliche Erlaubnis unsererseits. Bis auf RSS-Bots 
benötigen alle anderen die schriftliche Zustimmung von unserer Seite.",konten für kommerzielle zwecke erfordern eine schriftliche erlaubnis unsererseits bis auf rssbots benötigen alle anderen die schriftliche zustimmung von unserer seite,non-Englsih
350,social.anoxinon.de,"Zuwiderhandlungen gegen diese Regeln werden mit Ermahnung, Verwarnung oder Sperre geahndet.",zuwiderhandlungen gegen diese regeln werden mit ermahnung verwarnung oder sperre geahndet,non-Englsih
351,dice.camp,"No racism, sexism, homophobia, transphobia.",no racism sexism homophobia transphobia,non-Englsih
352,dice.camp,No harassment or dogpiling.,no harassment or dogpiling,non-Englsih
353,dice.camp,Do not share intentionally false or misleading information.,do not share intentionally false or misleading information,English
354,dice.camp,Violent or sexually explicit media must be marked as sensitive when posting.,violent or sexually explicit media must be marked as sensitive when posting,English
355,dice.camp,"Do not publish others’ private information, such as a physical or electronic address, without explicit permission.",do not publish others private information such as a physical or electronic address without explicit permission,English
356,dice.camp,Frequent sale or deal posts must be posted unlisted,frequent sale or deal posts must be posted unlisted,English
357,abdl.link,Under 18s are not permitted to sign up to this instance.,under 18s are not permitted to sign up to this instance,English
358,abdl.link,"Media or content involving real or realistic people under 18 (even if legal) is prohibited. NSFW artwork depicting characters wearing diapers is allowed on this website, but only if it is not intended to sexualize infantilism or children. Artwork deemed inappropriate or offensive will be removed.",media or content involving real or realistic people under 18 even if legal is prohibited nsfw artwork depicting characters wearing diapers is allowed on this website but only if it is not intended to sexualize infantilism or children artwork deemed inappropriate or offensive will be removed,English
359,abdl.link,"Posting, boosting or linking to any content that is illegal in the Finland, Netherlands or Germany is prohibited.",posting boosting or linking to any content that is illegal in the finland netherlands or germany is prohibited,English
360,abdl.link,"Discrimination of any kind is prohibited – this includes but is not limited to racism, xenophobia, sexism, homophobia, transphobia, etc.",discrimination of any kind is prohibited this includes but is not limited to racism xenophobia sexism homophobia transphobia etc,English
361,abdl.link,Content that you do not have permission to post is prohibited.,content that you do not have permission to post is prohibited,English
362,abdl.link,Spam and / or bots are prohibited.,spam and or bots are prohibited,English
363,abdl.link,"Media showing nudity, bodily fluids or messy diapers must be marked as sensitive.",media showing nudity bodily fluids or messy diapers must be marked as sensitive,English
364,abdl.link,All profile pictures and headers must be SFW (safe for work).,all profile pictures and headers must be sfw safe for work,English
365,norden.social,Sei kein Arschloch. Du hast eine Meinung? Das ist gut aber bitte beleidige niemanden bei deinen Äußerungen.,sei kein arschloch du hast eine meinung das ist gut aber bitte beleidige niemanden bei deinen äußerungen,non-Englsih
366,norden.social,"Diskriminiere niemanden. Rassistische, sexistische, frauenfeindliche, homophobe, transfeindliche, ableistische, antisemitische und andere menschenfeindliche Beiträge sind bei uns verboten!",diskriminiere niemanden rassistische sexistische frauenfeindliche homophobe transfeindliche ableistische antisemitische und andere menschenfeindliche beiträge sind bei uns verboten,non-Englsih
367,norden.social,Halte dich an Gesetze. Ganz einfach. Auch im Internet kann man angezeigt werden.,halte dich an gesetze ganz einfach auch im internet kann man angezeigt werden,non-Englsih
368,norden.social,"Du bist für deine Privatsphäre verantwortlich. Wenn du nicht willst, dass etwas im Internet über dich steht, veröffentliche es nicht.",du bist für deine privatsphäre verantwortlich wenn du nicht willst dass etwas im internet über dich steht veröffentliche es nicht,non-Englsih
369,norden.social,"Automatisierte Beiträge sollten als ""Nicht gelistet"" gepostet werden (d. h. sie sind sichtbar, aber nicht in der lokalen Zeitleiste). Dies gilt auch für Bots, Feed-Poster, Twitter-""Retweets"" und Twitter-Crossposts. Crossposter-Konten, die sich nicht aktiv beteiligen, können von uns entfernt werden.",automatisierte beiträge sollten als nicht gelistet gepostet werden d h sie sind sichtbar aber nicht in der lokalen zeitleiste dies gilt auch für bots feedposter twitterretweets und twittercrossposts crossposterkonten die sich nicht aktiv beteiligen können von uns entfernt werden,non-Englsih
370,norden.social,"Falls du einen NSFW-Only Account erstellen möchtest, ziehe eventuell eine andere Instanz in Betracht. Wahrscheinlich sind wir leider nicht geeignet für dich.",falls du einen nsfwonly account erstellen möchtest ziehe eventuell eine andere instanz in betracht wahrscheinlich sind wir leider nicht geeignet für dich,non-Englsih
371,norden.social,"Wir dulden keine Belästigung, einschließlich Brigading, Dogpiling oder jede andere Form der Kontaktaufnahme mit einem Nutzer, der angegeben hat, dass er nicht kontaktiert werden möchte.",wir dulden keine belästigung einschließlich brigading dogpiling oder jede andere form der kontaktaufnahme mit einem nutzer der angegeben hat dass er nicht kontaktiert werden möchte,non-Englsih
372,norden.social,"Wir dulden keine gewalttätige nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus.",wir dulden keine gewalttätige nationalistische propaganda keine nazisymbolik und keine förderung der ideologie des nationalsozialismus,non-Englsih
373,norden.social,"Inhalte, die in Deutschland illegal sind, werden gelöscht und können zur sofortigen Sperrung des Kontos führen.",inhalte die in deutschland illegal sind werden gelöscht und können zur sofortigen sperrung des kontos führen,non-Englsih
374,norden.social,"Mach dich nicht lustig über andere und sei nicht herablassend. Du möchtest auch mit Respekt behandelt werden. Beachte, dass sich Ironie, Sarkasmus oder ähnliche Ausdrucksformen nicht gut in die Schriftsprache übertragen lassen und dazu neigen, Diskussionen oder Missverständnisse zu eskalieren.",mach dich nicht lustig über andere und sei nicht herablassend du möchtest auch mit respekt behandelt werden beachte dass sich ironie sarkasmus oder ähnliche ausdrucksformen nicht gut in die schriftsprache übertragen lassen und dazu neigen diskussionen oder missverständnisse zu eskalieren,non-Englsih
379,ruby.social,"No bots

... unless they're cute, funny, or useful. Bots should avoid posting to the public timeline.
",no bots unless theyre cute funny or useful bots should avoid posting to the public timeline,English
380,ruby.social,"No pornography or nudity, or something that would be considered ""NSFW"" in a workplace, even behind a NSFW warning. In particular, no sexual depictions of children.",no pornography or nudity or something that would be considered nsfw in a workplace even behind a nsfw warning in particular no sexual depictions of children,English
381,ruby.social,"No gore or graphic violence. Again, if you wouldn't post it at work, you definitely shouldn't be posting it here.",no gore or graphic violence again if you wouldnt post it at work you definitely shouldnt be posting it here,English
382,ruby.social,Use content warnings. Content that is borderline NSFW or could be construed as NSFW at a glance should be put behind a CW (Content Warning),use content warnings content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a cw content warning,English
383,ruby.social,"No racism. This should go without saying, but unfortunately it doesn't.",no racism this should go without saying but unfortunately it doesnt,English
384,ruby.social,"No sexism

... or pretty much any other -ism",no sexism or pretty much any other ism,English
385,ruby.social,"No discrimination. Any discrimination based on gender, sexual minority, sexual orientation, disability, physical appearance, body size, race, ethnicity, religion (or lack thereof), or national origin, will result in your account and content being removed.",no discrimination any discrimination based on gender sexual minority sexual orientation disability physical appearance body size race ethnicity religion or lack thereof or national origin will result in your account and content being removed,English
386,ruby.social,No xenophobia. This includes violent nationalism.,no xenophobia this includes violent nationalism,English
387,ruby.social,"No holocaust denialism. No Nazi symbolism, promotion of National Socialism, or anything that is illegal in the European Union",no holocaust denialism no nazi symbolism promotion of national socialism or anything that is illegal in the european union,English
388,ruby.social,No stalking or harassment of any kind,no stalking or harassment of any kind,English
389,ruby.social,"No fake accounts, even celebrity joke accounts.

Note this rule does not necessarily apply to remote accounts.",no fake accounts even celebrity joke accounts note this rule does not necessarily apply to remote accounts,English
390,ruby.social,"No ""follow bots."" We block these and our instance is on a ""no bots"" list",no follow bots we block these and our instance is on a no bots list,English
391,ruby.social,"No advertising or excessive promotion. By far the biggest problem we've had running this server are spam accounts that sign up only to promote some company (often nothing even to do with Ruby), and so we take a fairly strong stance against letting such accounts even register on the server now.",no advertising or excessive promotion by far the biggest problem weve had running this server are spam accounts that sign up only to promote some company often nothing even to do with ruby and so we take a fairly strong stance against letting such accounts even register on the server now,English
392,mastodon.nz,You must read the rules.,you must read the rules,English
393,mastodon.nz,"You MUST describe your link to NZ as part of your reason for wanting to join on the next page. Applications without this will be declined. You must be a kiwi or honorary kiwi, at home or abroad, to join Mastodon.nz.",you must describe your link to nz as part of your reason for wanting to join on the next page applications without this will be declined you must be a kiwi or honorary kiwi at home or abroad to join mastodonnz,English
394,mastodon.nz,You may only have one account on Mastodon.nz and be at least 13 years of age.,you may only have one account on mastodonnz and be at least 13 years of age,English
395,mastodon.nz,"Personal accounts only. We do not allow bots, commercial, business, organisation or purely promotional accounts.",personal accounts only we do not allow bots commercial business organisation or purely promotional accounts,English
396,mastodon.nz,"Automated cross-posting from other services such as twitter is considered to be a bot and is not allowed. If you have a blog or something and you want feed that through, this is generally fine.",automated crossposting from other services such as twitter is considered to be a bot and is not allowed if you have a blog or something and you want feed that through this is generally fine,English
397,mastodon.nz,"No spamming. The occasional mention of your shop, fundraiser etc. is fine. It's hard to give a defined daily limit of what constitutes spam. Personal or professional (i.e. Mutual Aid/Kickstarters) fundraisers must be clearly tagged as such.",no spamming the occasional mention of your shop fundraiser etc is fine its hard to give a defined daily limit of what constitutes spam personal or professional ie mutual aidkickstarters fundraisers must be clearly tagged as such,English
398,mastodon.nz,"Content Warnings are mandatory on posts containing gore and/or violence. Posts about politics must be tagged one or more of #nzpol, #tōrangapū, #pol, and/or #politics, and optionally may be content warned.",content warnings are mandatory on posts containing gore andor violence posts about politics must be tagged one or more of nzpol tōrangapū pol andor politics and optionally may be content warned,English
399,mastodon.nz,"No impersonation of others. We may consider obvious parody accounts, but they must be agreed with @theMods in advance.",no impersonation of others we may consider obvious parody accounts but they must be agreed with themods in advance,English
400,mastodon.nz,"No hate speech, racism, sexism, ableism, homophobia or transphobia.",no hate speech racism sexism ableism homophobia or transphobia,English
401,mastodon.nz,"No illegal content, gore or violence for the sake of it, incitement of violence or promotion of violent ideologies or conspiracy theories.",no illegal content gore or violence for the sake of it incitement of violence or promotion of violent ideologies or conspiracy theories,English
402,mastodon.nz,"No NSFW content. A bit of casual swearing is fine, but don't be derogatory or aggressive to other users (see rule 12).",no nsfw content a bit of casual swearing is fine but dont be derogatory or aggressive to other users see rule 12,English
403,mastodon.nz,Be kind. No abuse or harassment will be tolerated. ,be kind no abuse or harassment will be tolerated,English
404,mastodon.nz,No doxxing other users.,no doxxing other users,English
405,mastodon.nz,Content hosted on Mastodon.nz or produced by its users may not be reused outside of the fediverse without the express permission of the author(s).,content hosted on mastodonnz or produced by its users may not be reused outside of the fediverse without the express permission of the authors,English
406,mastodon.nz,Mastodon.nz complies with copyright laws. We expect you to as well. Your content must be your own or acceptable use.,mastodonnz complies with copyright laws we expect you to as well your content must be your own or acceptable use,English
407,mastodon.nz,"Image descriptions: It is expected that users will add image descriptions to their uploads for
our visually impaired users. Unless there is a reason you can not, you must do so.",image descriptions it is expected that users will add image descriptions to their uploads for our visually impaired users unless there is a reason you can not you must do so,English
408,mastodon.nz,Copy of rules with more detailed guidance can be found at https://mastodon.nz/rules.pdf,copy of rules with more detailed guidance can be found at httpsmastodonnzrulespdf,English
409,nerdculture.de,Be friendly and polite to each other,be friendly and polite to each other,English
410,nerdculture.de,"No hate speech, no discrimination of others, regardless of their age, gender, nationality or whatever",no hate speech no discrimination of others regardless of their age gender nationality or whatever,English
411,nerdculture.de,No spamming of any kind.,no spamming of any kind,non-Englsih
412,nerdculture.de,Don't annoy others and don't get easily annoyed by others.,dont annoy others and dont get easily annoyed by others,English
413,nerdculture.de,No advertisements of commercial products.,no advertisements of commercial products,English
414,nerdculture.de,No distribution of copyrighted material.,no distribution of copyrighted material,English
415,nerdculture.de,Do not upload material for which you don't have the rights,do not upload material for which you dont have the rights,English
416,nerdculture.de,"No automated posts by bots, except when you have permission to do so by the server admins",no automated posts by bots except when you have permission to do so by the server admins,English
417,nerdculture.de,Don't abuse this service or server.,dont abuse this service or server,English
418,nerdculture.de,Treat other how you want to be treated by them - with respect!,treat other how you want to be treated by them with respect,English
419,nerdculture.de,"This is a service running on a private server and as a friendly user you are welcome to use this service, but in the end the server admin can cancel user accounts and will do when the user misbehaves. The admin will decide in the end. ",this is a service running on a private server and as a friendly user you are welcome to use this service but in the end the server admin can cancel user accounts and will do when the user misbehaves the admin will decide in the end,English
420,nerdculture.de,"Valid mail address required! You'll receive reminder mail after 6 months of inactivity to log in again. If you don't react to those mails, your account will be deleted after 7 months of inactivity. ",valid mail address required youll receive reminder mail after 6 months of inactivity to log in again if you dont react to those mails your account will be deleted after 7 months of inactivity,English
421,nerdculture.de,"Allowed languages are German and English as main languages while as the following languages are tolerated: Dutch, French, Spanish, Italian.",allowed languages are german and english as main languages while as the following languages are tolerated dutch french spanish italian,English
422,nerdculture.de,"This service is free of cost for you.
However offering this service does have cost implications. If you can afford some cents per week it would be great when you could contribute in sharing the server costs. Of course this voluntarily for you. ",this service is free of cost for you however offering this service does have cost implications if you can afford some cents per week it would be great when you could contribute in sharing the server costs of course this voluntarily for you,English
423,muenchen.social,"Keine Belästigung, Stalking und/oder Doxxing von anderen. ",keine belästigung stalking undoder doxxing von anderen,non-Englsih
424,muenchen.social,"Rassismus, Sexismus oder Beschimpfungen haben hier nichts verloren.",rassismus sexismus oder beschimpfungen haben hier nichts verloren,non-Englsih
425,muenchen.social, Diskriminierung von Geschlechtern und sexuellen Minderheiten haben hier auch nichts verloren.,diskriminierung von geschlechtern und sexuellen minderheiten haben hier auch nichts verloren,non-Englsih
426,muenchen.social,"Nationalistische Propaganda, Nazi-Symbolismus oder Förderung der Ideologie des Nationalsozialismus ist verboten. 
",nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus ist verboten,non-Englsih
427,muenchen.social,"Aufrufe zu Gewalttaten sind verboten.
",aufrufe zu gewalttaten sind verboten,non-Englsih
