,formatted_rules,cleaned_rules,lang
394,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
395,Do not share intentionally false or misleading information.,do not share intentionally false or misleading information,English
396,No harassment or doxxing of other users.,no harassment or doxxing of other users,English
397,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
398,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
399,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
400,"No harassment, dogpiling or doxxing of other users and people in general",no harassment dogpiling or doxxing of other users and people in general,English
401,No content illegal in Germany,no content illegal in germany,non-Englsih
402,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
403,Don't be a jerk,dont be a jerk,non-Englsih
404,"This server is about big ideas, kindness, and great experiences.  Please be excellent to each other.
 ",this server is about big ideas kindness and great experiences please be excellent to each other,English
405,"Discussion of ideas are great. Personal attacks will not be tolerated.
 
",discussion of ideas are great personal attacks will not be tolerated,English
406,Cursing is okay.  But no one wants to see any NSFW images. If you wouldn't show your mom the photo - don't post it here. ,cursing is okay but no one wants to see any nsfw images if you wouldnt show your mom the photo dont post it here,English
407,"What constitutes offensive speech or behavior including but not limited to race, gender identity and expression, national origin, religion, disability, marital status, age, sexual orientation, or other protected categories is ENTIRELY up to us.  Plenty of other servers if you're not cool with that.",what constitutes offensive speech or behavior including but not limited to race gender identity and expression national origin religion disability marital status age sexual orientation or other protected categories is entirely up to us plenty of other servers if youre not cool with that,English
408,"You are joining a community. So you'll be subscribing to our email newsletter as well as the server here. You don't have to stay subscribed, but you'll be getting a welcome and a newsletter every other week. ",you are joining a community so youll be subscribing to our email newsletter as well as the server here you dont have to stay subscribed but youll be getting a welcome and a newsletter every other week,English
409,No racism.,no racism,non-Englsih
410,Don't suck.,dont suck,non-Englsih
411,"日本国の国内法に基づきます。
",日本国の国内法に基づきます,non-Englsih
412,ネガディブな話題より、ポジティブな話題を心がける。,ネガディブな話題よりポジティブな話題を心がける,non-Englsih
413,相模地域の話題推奨ですが、強い縛りはありません。,相模地域の話題推奨ですが強い縛りはありません,non-Englsih
414,No bad things,no bad things,English
415,mmasuda のおひとり様インスタンスです(非常用),mmasuda のおひとり様インスタンスです非常用,non-Englsih
416,"*No hate speech, bigotry, violent threats, harassment, CSAM, fascism, TERF, gamergate, or other heinous bullshit.",no hate speech bigotry violent threats harassment csam fascism terf gamergate or other heinous bullshit,English
417,Self promotion and publicity is a-ok.,self promotion and publicity is aok,English
418,Private server for Nif.,private server for nif,non-Englsih
419,Pas de contenu illégal,pas de contenu illégal,non-Englsih
420,文月郁の個人用インスタンスのため、新規登録は受け付けておりません。,文月郁の個人用インスタンスのため新規登録は受け付けておりません,non-Englsih
421,禁止发布对性取向、性癖、爱好、信仰、宗教、政治立场、民族、地域等的侮辱性言论,禁止发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论,non-Englsih
422,禁止对任何用户发送具有骚扰、猥亵、恐吓、威胁、诱骗、霸凌性质的内容、不受欢迎的性暗示内容，或其他令他人感到不安或不适、打扰他人正常生活的内容,禁止对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容,non-Englsih
423,请不要发布种族主义、性别主义、同性恋恐惧以及跨性别恐惧言论,请不要发布种族主义性别主义同性恋恐惧以及跨性别恐惧言论,non-Englsih
424,只要涉及成人内容，包括文字及媒体，均需使用恰当的CW标签及隐藏内容警告,只要涉及成人内容包括文字及媒体均需使用恰当的cw标签及隐藏内容警告,non-Englsih
425,请不要发布违反伦理及社会共识的成人内容，如由真实的儿童参与制作的色情内容,请不要发布违反伦理及社会共识的成人内容如由真实的儿童参与制作的色情内容,non-Englsih
426,禁止对其他用户实施任何人肉行为,禁止对其他用户实施任何人肉行为,non-Englsih
427,禁止将本站服务用于正常交流以外的用途的滥用行为,禁止将本站服务用于正常交流以外的用途的滥用行为,non-Englsih
428,请不要在未经作者授权的情况下发布他人作品,请不要在未经作者授权的情况下发布他人作品,non-Englsih
429,日本国の法律に違反するような書き込み、画像、映像の添付は禁止します。,日本国の法律に違反するような書き込み画像映像の添付は禁止します,non-Englsih
430,"サーバの性能がしょぼいため、負荷が高くなるような操作(短期間に大量の画像つき投稿など)は控えてください。
",サーバの性能がしょぼいため負荷が高くなるような操作短期間に大量の画像つき投稿などは控えてください,non-Englsih
431,その他、管理人が問題だと思った行動を取り続けた場合、アカウント停止などの対処を行います。,その他管理人が問題だと思った行動を取り続けた場合アカウント停止などの対処を行います,non-Englsih
432,またよくわからないアカウントも管理人の独断でアカウント停止、削除を行います。,またよくわからないアカウントも管理人の独断でアカウント停止削除を行います,non-Englsih
433,上記以外は自由に楽しんでください。,上記以外は自由に楽しんでください,non-Englsih
434,ルールは管理人の独断で変更される場合があります。,ルールは管理人の独断で変更される場合があります,non-Englsih
435,...,,Error
436,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
437,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
438,"No incitement of violence or promotion of violent ideologies
",no incitement of violence or promotion of violent ideologies,English
439,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
440,No content illegal in Germany,no content illegal in germany,non-Englsih
441,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
442,"To be expanded, but for now - please be respectful, play nicely.",to be expanded but for now please be respectful play nicely,English
443,Anyone who is not me is banned,anyone who is not me is banned,English
444,"Don't be a jerk. Don't be hatful or a bigot. (As this is my own personal instance for now, hopefully it wont' be too hard for me to follow these rules!).",dont be a jerk dont be hatful or a bigot as this is my own personal instance for now hopefully it wont be too hard for me to follow these rules,English
445,"Kein Rassismus, Sexismus, Beschimpfungen",kein rassismus sexismus beschimpfungen,non-Englsih
446,"Keine Belästigung, Stalking, Doxxing",keine belästigung stalking doxxing,non-Englsih
447,Keine Diskriminierung von geschlechtsspezifischen und sexuellen Minderheiten,keine diskriminierung von geschlechtsspezifischen und sexuellen minderheiten,non-Englsih
448,Kein Spam oder Werbung,kein spam oder werbung,non-Englsih
449,Crossposting ist nicht erwünscht,crossposting ist nicht erwünscht,non-Englsih
450,Keine illegalen Inhalte,keine illegalen inhalte,non-Englsih
451,"Enthusiasm - yes, hate - no.

We don't care if your loved one is 8-, 16-, 32-bit, male, female, feline, furry or anything else. We just want enthusiasm, (com)passion, and love to thrive here, while hate speech and lack of respect will keep you out.",enthusiasm yes hate no we dont care if your loved one is 8 16 32bit male female feline furry or anything else we just want enthusiasm compassion and love to thrive here while hate speech and lack of respect will keep you out,English
452,"No illegal content. Posting pornographic content with a minor, or content that may facilitate the commission of a crime will result in immediate and permanent ban. ",no illegal content posting pornographic content with a minor or content that may facilitate the commission of a crime will result in immediate and permanent ban,English
453,"Don't be harmful. Repeatedly posting content that can evoke negative emotions in the recipients or promote behavior that is dangerous to health/life can also result in a ban. Examples: violent content, aggressive behavior, content encouraging self-harm, suicide, and other self-destructive behavior.",dont be harmful repeatedly posting content that can evoke negative emotions in the recipients or promote behavior that is dangerous to healthlife can also result in a ban examples violent content aggressive behavior content encouraging selfharm suicide and other selfdestructive behavior,English
454,"This is a private instance, so I don’t need to write rules only for me :)",this is a private instance so i dont need to write rules only for me,English
455,no right wing shit,no right wing shit,English
456,no bigotry,no bigotry,non-Englsih
457,lewd stuff should be CW'd (at least one admin is a minor lol),lewd stuff should be cwd at least one admin is a minor lol,English
458,At the moment this is a single-user server. This is a list of standards to which I hold myself *And anyone else I would let use this server* to.,at the moment this is a singleuser server this is a list of standards to which i hold myself and anyone else i would let use this server to,English
459,I will clearly mark any NSFW content,i will clearly mark any nsfw content,English
460,"I am not sexist, racist, transphobic or homophobic & do not plan to Post content that is. I reserve the right to discuss such content & may include screenshots in this case content warnings will be applied, discussion of harassment is important but it may be triggering.",i am not sexist racist transphobic or homophobic do not plan to post content that is i reserve the right to discuss such content may include screenshots in this case content warnings will be applied discussion of harassment is important but it may be triggering,English
461,"Nothing that's illegal in New Zealand.
See: https://www.legislation.govt.nz/act/public/1993/0094/55.0/DLM313407.html",nothing thats illegal in new zealand see httpswwwlegislationgovtnzactpublic19930094550dlm313407html,English
462,If you spam me I will block you. If a lot of spam is coming from another instance And I am unable to resolve the issue with the administrator of the instance in a timely manner I will black hole that entire instance,if you spam me i will block you if a lot of spam is coming from another instance and i am unable to resolve the issue with the administrator of the instance in a timely manner i will black hole that entire instance,English
463,"The same goes for disinformation On anything important(politics, public health, etc)",the same goes for disinformation on anything importantpolitics public health etc,English
464,This is my instance if I block you there's no appeal. Don't threaten to sue me Over free speech/First Amendment rights I don't live in The U.S. And my server isn't hosted in the u.s. And if you try in NZ Not only will it be thrown out You will probably get some kind of fine,this is my instance if i block you theres no appeal dont threaten to sue me over free speechfirst amendment rights i dont live in the us and my server isnt hosted in the us and if you try in nz not only will it be thrown out you will probably get some kind of fine,English
465,Oh and any bot I create will be clearly marked as such,oh and any bot i create will be clearly marked as such,English
466,Nebuď kretén,nebuď kretén,non-Englsih
467,Please keep all discussion polite.,please keep all discussion polite,non-Englsih
468,Posted content must be legal.,posted content must be legal,English
469,There must be no confidential information posted.,there must be no confidential information posted,English
470,"This server is a low-traffic server for Ellie, mostly. If you're a friend of Ellie, and would like an account, feel free to reach out.",this server is a lowtraffic server for ellie mostly if youre a friend of ellie and would like an account feel free to reach out,English
471,No nazis.,no nazis,non-Englsih
472,No transphobia.,no transphobia,non-Englsih
473,Capitalism must be destroyed.,capitalism must be destroyed,non-Englsih
474,Don't be an asshole,dont be an asshole,English
475,All public posts from this instance are indexed by tootfinder.ch.,all public posts from this instance are indexed by tootfinderch,English
476,法令順守。日本国の法律に触れることはしないでください。 ,法令順守日本国の法律に触れることはしないでください,non-Englsih
477,公序良俗に反する行為の禁止。公序良俗の定義は運営者の判断によります。映画で言えばPG=13を目安にしてください。 ,公序良俗に反する行為の禁止公序良俗の定義は運営者の判断によります映画で言えばpg13を目安にしてください,non-Englsih
478,差別的言動の禁止。何が差別的かの線引きも難しいですが、運営者の判断によります。 ,差別的言動の禁止何が差別的かの線引きも難しいですが運営者の判断によります,non-Englsih
479, German laws & regulations apply,german laws regulations apply,English
480,"Einhaltung deutscher Rechtsnormen (Urheberrecht, Kunsturheberrecht, Strafrecht, ...).",einhaltung deutscher rechtsnormen urheberrecht kunsturheberrecht strafrecht,non-Englsih
481,Zivilisierter Umgang miteinander (der Hooligan wird zur Tür geleitet).,zivilisierter umgang miteinander der hooligan wird zur tür geleitet,non-Englsih
482,Kurzum: Vor der Veröffentlichung einfach das Hirn einschalten ;-),kurzum vor der veröffentlichung einfach das hirn einschalten,non-Englsih
483,,,Error
484,"Vær ålreit med hverandre. Hold samtaler positive og konstruktive. Uenighet kan oppstå, men det er likevel ingen grunn til å gå til personangrep.",vær ålreit med hverandre hold samtaler positive og konstruktive uenighet kan oppstå men det er likevel ingen grunn til å gå til personangrep,non-Englsih
485,"NSFW er ikke tillatt. Unngå pornografi, nakenhet og voldelig innhold i denne serveren.",nsfw er ikke tillatt unngå pornografi nakenhet og voldelig innhold i denne serveren,non-Englsih
486,"Ingen hat, rasisme eller annen diskriminering.",ingen hat rasisme eller annen diskriminering,non-Englsih
487,You must be me to use this instance. The rest of these rules are for me to follow.,you must be me to use this instance the rest of these rules are for me to follow,English
488,"No bigotry of any kind (e.g., racism, transphobia, nazi beliefs, etc.)",no bigotry of any kind eg racism transphobia nazi beliefs etc,English
489,Don't harass people or promote violence.,dont harass people or promote violence,English
490,Don't spread disinformation. Please make some effort to verify news.,dont spread disinformation please make some effort to verify news,English
491,Don't be a dick.,dont be a dick,English
492,No hacking.,no hacking,non-Englsih
493,No violence.,no violence,non-Englsih
494,No fascism.,no fascism,non-Englsih
495,No colonialism.,no colonialism,non-Englsih
496,No white supremacy.,no white supremacy,English
497,No religious extremism.,no religious extremism,non-Englsih
498,No nationalism.,no nationalism,non-Englsih
499,No racism.,no racism,non-Englsih
500,No homophobia.,no homophobia,non-Englsih
501,No transphobia.,no transphobia,non-Englsih
502,Safe space: LGTBQIA+,safe space lgtbqia,non-Englsih
503,"Safe space: neurodivergent (ADHD, Autism, etc.)",safe space neurodivergent adhd autism etc,non-Englsih
504,"Be courteous, be kind. Treat others as you wish to be treated.",be courteous be kind treat others as you wish to be treated,English
505,"Se prohíbe la transfobia, homofobia, lgbtqia+fobia en general, machismo, especismo, racismo, nazismo y fascismo, discursos que promuevan estas ideas serán razón de baneo.",se prohíbe la transfobia homofobia lgbtqiafobia en general machismo especismo racismo nazismo y fascismo discursos que promuevan estas ideas serán razón de baneo,non-Englsih
506,"No se aceptarán cuentas de partidos políticos, instituciones públicas, empresas privadas y medios de comunicación privados. Sí se aceptarán cuentas de medios de comunicación comunitarios o autogestionados, cooperativas, organizaciones sociales y/o civiles sin fines de lucro y/o cuyos propósitos estén de acuerdo con las reglas de la instancia.
",no se aceptarán cuentas de partidos políticos instituciones públicas empresas privadas y medios de comunicación privados sí se aceptarán cuentas de medios de comunicación comunitarios o autogestionados cooperativas organizaciones sociales yo civiles sin fines de lucro yo cuyos propósitos estén de acuerdo con las reglas de la instancia,non-Englsih
507,No Bigotry,no bigotry,non-Englsih
508,私人领地，未经同意请勿穿越（,私人领地未经同意请勿穿越,non-Englsih
509,No illegal content or conduct. Content or conduct that is illegal in the United States is strictly prohibited.,no illegal content or conduct content or conduct that is illegal in the united states is strictly prohibited,English
510,"Racism, sexism, homophobia, transphobia, and other discrimination is prohibited. Users who engage in such conduct are not welcome on our platform.",racism sexism homophobia transphobia and other discrimination is prohibited users who engage in such conduct are not welcome on our platform,English
511,Don’t stalk or harass other users. Respect other users of our service and other federated instances.,dont stalk or harass other users respect other users of our service and other federated instances,English
512,"Use content warnings (CW) liberally. CW are required for NSFW content, political discussion and debate, religious promotion and debate, and drug mentions.",use content warnings cw liberally cw are required for nsfw content political discussion and debate religious promotion and debate and drug mentions,English
513,"Misinformation, scams, NFTs, Ponzi schemes, and other deceptive content is prohibited.",misinformation scams nfts ponzi schemes and other deceptive content is prohibited,English
514,"Spam is not permitted, this includes creating spam accounts that only serve to provide profile links or advertise products and services.",spam is not permitted this includes creating spam accounts that only serve to provide profile links or advertise products and services,English
515,No harassment in the form of continued engagement after a person has requested contact to stop.,no harassment in the form of continued engagement after a person has requested contact to stop,English
516,Lack of a specific rule against a certain behavior does not indicate acceptance of that behavior. Each of us has a limited amount of time in this world. Don't be a jerk.,lack of a specific rule against a certain behavior does not indicate acceptance of that behavior each of us has a limited amount of time in this world dont be a jerk,English
517,"Violating one or more of these rules may result in an immediate, permanent ban without notice or warning.",violating one or more of these rules may result in an immediate permanent ban without notice or warning,English
518,"Use the report system. If a user or instance is breaking the rules, we recommend just reporting the content and not engaging.",use the report system if a user or instance is breaking the rules we recommend just reporting the content and not engaging,English
519,"Access to nomadic.social data by Meta inc., it’s subsidiary organizations, or 3rd party organizations working on their behalf, is strictly prohibited.",access to nomadicsocial data by meta inc its subsidiary organizations or 3rd party organizations working on their behalf is strictly prohibited,English
520,No racism,no racism,non-Englsih
521,Treat others as you would like to be treated,treat others as you would like to be treated,English
522,No 18+/porn material,no 18porn material,non-Englsih
523,No hate speech,no hate speech,English
524,All NSFW content must be marked as such (CW),all nsfw content must be marked as such cw,English
525,Treat others here with the same respect you would treat your own Grandmother!,treat others here with the same respect you would treat your own grandmother,English
526,No commercial advertising,no commercial advertising,non-Englsih
527,Olemme vähemmistömyönteisiä. Ole lempeä.,olemme vähemmistömyönteisiä ole lempeä,non-Englsih
528,"Keskustele asiasta.

Älä mene henkilökohtaisuuksiin.",keskustele asiasta älä mene henkilökohtaisuuksiin,non-Englsih
529,Ei lakeja rikkovaa materiaalia (Suomi ja Euroopan unioni).,ei lakeja rikkovaa materiaalia suomi ja euroopan unioni,non-Englsih
530,Älä kiusaa. Älä ahdistele muita.,älä kiusaa älä ahdistele muita,non-Englsih
531,Älä levitä disinformaatiota. Ei salaliittoteorioita.,älä levitä disinformaatiota ei salaliittoteorioita,non-Englsih
532,Ei syrjintää. Ei rasismia. Ei fasismia. Ei seksismiä. Ei homofobiaa. Ei transfobiaa.,ei syrjintää ei rasismia ei fasismia ei seksismiä ei homofobiaa ei transfobiaa,non-Englsih
533,Käytä sisältövaroitusta arkaluontoiselle sisällölle. Ei arkaluontoista sisältöä julkisissa kuvissa kuten avatareissa.,käytä sisältövaroitusta arkaluontoiselle sisällölle ei arkaluontoista sisältöä julkisissa kuvissa kuten avatareissa,non-Englsih
534,Älä koettele sääntöjen rajoja. Palvelimen ylläpito pidättää oikeuden sääntömuutoksiin.,älä koettele sääntöjen rajoja palvelimen ylläpito pidättää oikeuden sääntömuutoksiin,non-Englsih
535,"Ei spammia, ei kaupallista mainontaa, ei hakukoneoptimointia varten luotua sisältöä.",ei spammia ei kaupallista mainontaa ei hakukoneoptimointia varten luotua sisältöä,non-Englsih
536,"Älä tekeydy toiseksi, julkisuuden henkilöksi tai järjestöksi. Älä luo parodiatilejä tälle palvelimelle. Muilla palvelimilla sijaitsevien selkeästi merkittyjen parodiatilien seuraaminen on sallittua.",älä tekeydy toiseksi julkisuuden henkilöksi tai järjestöksi älä luo parodiatilejä tälle palvelimelle muilla palvelimilla sijaitsevien selkeästi merkittyjen parodiatilien seuraaminen on sallittua,non-Englsih
537,You must be a Matthew,you must be a matthew,English
538,Be kind.,be kind,non-Englsih
539,Family-size instance with next to no-one. No open subscription. invite only,familysize instance with next to noone no open subscription invite only,English
540,Blocks threads.net ,blocks threadsnet,English
541,"Content Warning and Labeling: Any content that is adult-oriented, graphic, or sensitive in nature must be obscured behind a content warning and must be clearly labeled as such. This is to ensure that users are adequately informed and can consent prior to their exposure to such content.",content warning and labeling any content that is adultoriented graphic or sensitive in nature must be obscured behind a content warning and must be clearly labeled as such this is to ensure that users are adequately informed and can consent prior to their exposure to such content,English
542,"Prohibition of Misleading or Deceptive Content: The posting of content that is misleading, deceptive, or false is strictly prohibited. This includes, but is not limited to, content that is intended to deceive, mislead, or defraud others.",prohibition of misleading or deceptive content the posting of content that is misleading deceptive or false is strictly prohibited this includes but is not limited to content that is intended to deceive mislead or defraud others,English
543,"Prohibition of Harassment and Antagonistic Behavior: Engaging in spamming, stalking, harassment, or any form of antagonistic behavior towards others is strictly prohibited. This includes, but is not limited to, unsolicited communications, unwanted attention, and behavior that is intended to annoy, threaten, or intimidate others.",prohibition of harassment and antagonistic behavior engaging in spamming stalking harassment or any form of antagonistic behavior towards others is strictly prohibited this includes but is not limited to unsolicited communications unwanted attention and behavior that is intended to annoy threaten or intimidate others,English
544,"Workplace Appropriateness of Avatars and Headers: All avatars and headers must be appropriate for a work environment. This includes, but is not limited to, images, symbols, and text that are not offensive, explicit, or inappropriate.",workplace appropriateness of avatars and headers all avatars and headers must be appropriate for a work environment this includes but is not limited to images symbols and text that are not offensive explicit or inappropriate,English
545,"Bot Delisting: Except for certain exceptions like news outlets, all bots must be delisted from the public timeline. This ensures a more human-centric interaction environment on our platform.",bot delisting except for certain exceptions like news outlets all bots must be delisted from the public timeline this ensures a more humancentric interaction environment on our platform,English
546,"Compliance with Laws and Regulations: All content must comply with the General Data Protection Regulation (GDPR), applicable United States federal laws, and the laws of the State of South Carolina. This includes, but is not limited to, content that does not infringe upon the rights of others, violate privacy laws, or engage in illegal activities.",compliance with laws and regulations all content must comply with the general data protection regulation gdpr applicable united states federal laws and the laws of the state of south carolina this includes but is not limited to content that does not infringe upon the rights of others violate privacy laws or engage in illegal activities,English
547,Federation Compliance: The aforementioned rules apply both locally and to any social networks federating with our network. Any federated social networks found to be in violation of these rules may face defederation. This ensures a consistent and respectful environment across all platforms.,federation compliance the aforementioned rules apply both locally and to any social networks federating with our network any federated social networks found to be in violation of these rules may face defederation this ensures a consistent and respectful environment across all platforms,English
548,"Private server, private rules.",private server private rules,non-Englsih
549,No spam,no spam,non-Englsih
550,Be Agatha (Rules for users on this instance will be added if registrations ever open),be agatha rules for users on this instance will be added if registrations ever open,English
551,Any instances not moderating any kind of harassment or bigotry are suspended on sight.,any instances not moderating any kind of harassment or bigotry are suspended on sight,English
552,Don't post anything illegal.,dont post anything illegal,English
553,No hate speech or harassment,no hate speech or harassment,English
554,"No conspiracism (antivaxx, covid denial, flat earth etc) ",no conspiracism antivaxx covid denial flat earth etc,non-Englsih
555,No crossposting boosts or replies.,no crossposting boosts or replies,English
556,It's good and cool to tell TERFs and SWERFs to fuck off,its good and cool to tell terfs and swerfs to fuck off,English
557,面白い投稿には「たのしー」と反応しましょう,面白い投稿にはたのしーと反応しましょう,non-Englsih
558,褒められたら「わーい」と返事しましょう,褒められたらわーいと返事しましょう,non-Englsih
559,よくわからないことには「なんでなんでー？」と返事しましょう,よくわからないことにはなんでなんでーと返事しましょう,non-Englsih
560,ブロックされたら「狩りごっこだね！負けないよ！」とブロック返しをしましょう,ブロックされたら狩りごっこだね負けないよとブロック返しをしましょう,non-Englsih
561,"Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).",conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local,non-Englsih
562,"Les contenus pornographiques ou visiblement violents doivent être marqués avec le drapeau ""sensible / sensitive"". Les comptes ne respectant pas cette règle seront rendus invisibles aux flux locaux et fédérés.",les contenus pornographiques ou visiblement violents doivent être marqués avec le drapeau sensible sensitive les comptes ne respectant pas cette règle seront rendus invisibles aux flux locaux et fédérés,non-Englsih
563,"La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation.",la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation,non-Englsih
564,"Approchez les personnes avec précaution et politesse. Si une personne vous demande d'arrêter de la mentionner ou qu'elle exprime ne plus vouloir participer à une discussion, arrêtez immédiatement.",approchez les personnes avec précaution et politesse si une personne vous demande darrêter de la mentionner ou quelle exprime ne plus vouloir participer à une discussion arrêtez immédiatement,non-Englsih
565,"Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes ou transphobes.",sont interdits les propos images ou vidéos racistes sexistes homophobes ou transphobes,non-Englsih
566,Sont interdits les avances ou propositions à caractères sexuels non-sollicitées.,sont interdits les avances ou propositions à caractères sexuels nonsollicitées,non-Englsih
567,"Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.",sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes,non-Englsih
568,"Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.",il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite,non-Englsih
569,"Il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction peut être considéré comme du harcèlement, indépendamment de la confidentialité employée.",il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction peut être considéré comme du harcèlement indépendamment de la confidentialité employée,non-Englsih
570,"Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».",est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie,non-Englsih
571,"Il est interdit publier ou diffuser intentionnellement des propos diffamatoires, calomnieux. Cela concerne aussi toute désinformation avec intention de tromper (le gorafi ou the onion sont donc autorisés).",il est interdit publier ou diffuser intentionnellement des propos diffamatoires calomnieux cela concerne aussi toute désinformation avec intention de tromper le gorafi ou the onion sont donc autorisés,non-Englsih
572,Règles basées sur celles de l'instance Mamot.fr,règles basées sur celles de linstance mamotfr,non-Englsih
573,Nothing Illegal,nothing illegal,non-Englsih
574,"Inhalte
- nur in Deutschland erlaubtes
- nur Familienfreundliche Inhalte",inhalte nur in deutschland erlaubtes nur familienfreundliche inhalte,non-Englsih
575,"Block und Löschung
- ich lösche alles was mir nicht passt
- ich blocke alles was mir nicht passt",block und löschung ich lösche alles was mir nicht passt ich blocke alles was mir nicht passt,non-Englsih
576,"Die Inhaber der Accounts sind für ihre Inhalte selbst verantwortlich.
Les propriétaires des comptes sont eux-mêmes responsables de leur contenu.
I titolari degli account sono responsabili dei propri contenuti. 
",die inhaber der accounts sind für ihre inhalte selbst verantwortlich les propriétaires des comptes sont euxmêmes responsables de leur contenu i titolari degli account sono responsabili dei propri contenuti,non-Englsih
577,Be kind.,be kind,non-Englsih
578,面白いと思ったことを書いてもかまいません,面白いと思ったことを書いてもかまいません,non-Englsih
579,be excellent to each other,be excellent to each other,English
580,"Dies ist eine private Instanz. Nur folgen, nicht anfassen.",dies ist eine private instanz nur folgen nicht anfassen,non-Englsih
581,"Impressum:

BitBastelei//Adlerweb
Florian Knodt
Im Teich 11b
D-56648 Saffig

Achtung: Reine Briefadresse, keine Paketsendungen!",impressum bitbasteleiadlerweb florian knodt im teich 11b d56648 saffig achtung reine briefadresse keine paketsendungen,non-Englsih
582,"adlerweb @adlerweb.info (GPG: 0x1321B9AFA18836DC oder 0xc374b04a1a1ef2da)

Bitte beachten sie, dass eine elektronische Kommunikation störanfällig und oft nicht verschlüsselt ist – wenn sie auf eine sichergestellte Übertragung Wert legen verwenden sie bitte Einschreiben o.Ä.",adlerweb adlerwebinfo gpg 0x1321b9afa18836dc oder 0xc374b04a1a1ef2da bitte beachten sie dass eine elektronische kommunikation störanfällig und oft nicht verschlüsselt ist wenn sie auf eine sichergestellte übertragung wert legen verwenden sie bitte einschreiben oä,non-Englsih
583,This is my personal mastodon instance. I'll mainly post things of interest or anything I'd like to keep track of,this is my personal mastodon instance ill mainly post things of interest or anything id like to keep track of,English
584,"If you'd like an account in my mastodon social network, hit me up! And no, I'm not allowing randos to sign up but feel free to signup at any other mastodon instance and follow me back :)",if youd like an account in my mastodon social network hit me up and no im not allowing randos to sign up but feel free to signup at any other mastodon instance and follow me back,English
585,"La loi Belge s'applique à ce serveur et la modération se fera conformément à la législation en vigueur mais ira même plus loin, en ne tolérant aucune forme d'intolérance.",la loi belge sapplique à ce serveur et la modération se fera conformément à la législation en vigueur mais ira même plus loin en ne tolérant aucune forme dintolérance,non-Englsih
586,"Les propos racistes, sexistes, homophobes, transphobes, révisionnistes, complotistes, etc n'ont pas leur place ici et doivent être signalés.",les propos racistes sexistes homophobes transphobes révisionnistes complotistes etc nont pas leur place ici et doivent être signalés,non-Englsih
587,"Selon la gravité des faits, un éventail de réactions est possible, allant du simple rappel à l'ordre jusqu'au bannissement de l'utilisateur fautif.",selon la gravité des faits un éventail de réactions est possible allant du simple rappel à lordre jusquau bannissement de lutilisateur fautif,non-Englsih
588,Be civil.,be civil,English
589,Sexually explicit or violent media should be marked as sensitive when posting.,sexually explicit or violent media should be marked as sensitive when posting,English
590,No illegal content.,no illegal content,non-Englsih
591,Be excellent to each other,be excellent to each other,English
592,Don't get banned.,dont get banned,non-Englsih
593,"Stay legal. Respect international laws, from the country the instance is hold in (United States), laws from the admins' country (United States), and from your own country.",stay legal respect international laws from the country the instance is hold in united states laws from the admins country united states and from your own country,English
594,"Don’t go insult others, whether you say it straight to their face or not.",dont go insult others whether you say it straight to their face or not,English
