,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
262,302,social.outsourcedmath.com,7.	Modifications,7 modifications,non-Englsih,7 modifications
263,303,social.outsourcedmath.com,The Outsourced Math LLC Friendica Social Server may revise these terms of service for its website at any time without notice. By using this website you are agreeing to be bound by the then current version of these terms of service.,the outsourced math llc friendica social server may revise these terms of service for its website at any time without notice by using this website you are agreeing to be bound by the then current version of these terms of service,English,the outsourced math llc friendica social server may revise these terms of service for its website at any time without notice by using this website you are agreeing to be bound by the then current version of these terms of service
264,305,social.outsourcedmath.com,8.	Governing Law,8 governing law,non-Englsih,8 governing law
265,306,social.outsourcedmath.com,"These terms and conditions are governed by and construed in accordance with the laws of New York, United States and you irrevocably submit to the exclusive jurisdiction of the courts in that State or location.",these terms and conditions are governed by and construed in accordance with the laws of new york united states and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location,English,these terms and conditions are governed by and construed in accordance with the laws of new york united states and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location
266,308,social.outsourcedmath.com,∞.	Contacting Us,contacting us,English,contacting us
267,309,social.outsourcedmath.com,"If there are any questions regarding this privacy policy, you may contact us using the information below.",if there are any questions regarding this privacy policy you may contact us using the information below,English,if there are any questions regarding this privacy policy you may contact us using the information below
268,310,social.outsourcedmath.com,OutsourcedMath Friendica Admin,outsourcedmath friendica admin,English,outsourcedmath friendica admin
269,311,social.outsourcedmath.com,206 Harrogate Square,206 harrogate square,non-Englsih,206 harrogate square
270,312,social.outsourcedmath.com,"Amherst, NY 14221-4046",amherst ny 142214046,English,amherst ny 142214046
271,313,social.outsourcedmath.com,United States,united states,English,united states
272,314,social.outsourcedmath.com,social@outsourcedmath.com,socialoutsourcedmathcom,English,socialoutsourcedmathcom
273,316,social.outsourcedmath.com,Last Edited on 2019-02-06,last edited on 20190206,English,last edited on 20190206
274,324,social.outsourcedmath.com,OutsourcedMath Social Friendica Server Privacy Policy at social.outsourcedmath.com,outsourcedmath social friendica server privacy policy at socialoutsourcedmathcom,English,outsourcedmath social friendica server privacy policy at socialoutsourcedmathcom
275,325,social.outsourcedmath.com,"Last updated: Wednesday, February 6, 2019",last updated wednesday february 6 2019,English,last updated wednesday february 6 2019
276,327,social.outsourcedmath.com,"This privacy policy has been compiled to better serve those who are concerned with how their 'Personally Identifiable Information' (PII) is being used online. PII, as described in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect, or otherwise handle your Personally Identifiable Information in accordance with our website.",this privacy policy has been compiled to better serve those who are concerned with how their personally identifiable information pii is being used online pii as described in us privacy law and information security is information that can be used on its own or with other information to identify contact or locate a single person or to identify an individual in context please read our privacy policy carefully to get a clear understanding of how we collect use protect or otherwise handle your personally identifiable information in accordance with our website,English,this privacy policy has been compiled to better serve those who are concerned with how their personally identifiable information pii is being used online pii as described in us privacy law and information security is information that can be used on its own or with other information to identify contact or locate a single person or to identify an individual in context please read our privacy policy carefully to get a clear understanding of how we collect use protect or otherwise handle your personally identifiable information in accordance with our website
277,329,social.outsourcedmath.com,"α	What personal information do we collect from the people that visit our social networking, communication, and information sharing site?",α what personal information do we collect from the people that visit our social networking communication and information sharing site,English,α what personal information do we collect from the people that visit our social networking communication and information sharing site
278,330,social.outsourcedmath.com,"When registering on our site, as appropriate, you may be asked to enter your name, eMail address, mailing address, phone number, Social Media User ID's or other details to help you with your experience.",when registering on our site as appropriate you may be asked to enter your name email address mailing address phone number social media user ids or other details to help you with your experience,English,when registering on our site as appropriate you may be asked to enter your name email address mailing address phone number social media user ids or other details to help you with your experience
279,331,social.outsourcedmath.com,"At the time of registration, and for providing communications between the user account and their contacts, the user has to provide a display name (pen name), a username (nickname), and a working email address. The names will be accessible on the profile page of the account by any visitor of the page, even if other profile details are not displayed. The email address will only be used to send the user notifications about interactions, but won’t be visibly displayed. The listing of an account in the node's user directory or the global user directory is optional and can be controlled in the user settings, it is not necessary for communication.",at the time of registration and for providing communications between the user account and their contacts the user has to provide a display name pen name a username nickname and a working email address the names will be accessible on the profile page of the account by any visitor of the page even if other profile details are not displayed the email address will only be used to send the user notifications about interactions but wont be visibly displayed the listing of an account in the nodes user directory or the global user directory is optional and can be controlled in the user settings it is not necessary for communication,English,at the time of registration and for providing communications between the user account and their contacts the user has to provide a display name pen name a username nickname and a working email address the names will be accessible on the profile page of the account by any visitor of the page even if other profile details are not displayed the email address will only be used to send the user notifications about interactions but wont be visibly displayed the listing of an account in the nodes user directory or the global user directory is optional and can be controlled in the user settings it is not necessary for communication
280,332,social.outsourcedmath.com,This information is required for communication and is passed on to the nodes of the communication partners and is stored there. Users can enter additional personal information that may be transmitted to the communication partner's accounts.,this information is required for communication and is passed on to the nodes of the communication partners and is stored there users can enter additional personal information that may be transmitted to the communication partners accounts,English,this information is required for communication and is passed on to the nodes of the communication partners and is stored there users can enter additional personal information that may be transmitted to the communication partners accounts
281,333,social.outsourcedmath.com,"At any point in time, a logged-in user can export their account data from the account settings. If the user wants to delete their account they can do so at http://social.outsourcedmath.com/removeme. The deletion of the account will be permanent. Deletion of the data will also be requested from the nodes of the communication partners.",at any point in time a loggedin user can export their account data from the account settings if the user wants to delete their account they can do so at httpsocialoutsourcedmathcomremoveme the deletion of the account will be permanent deletion of the data will also be requested from the nodes of the communication partners,English,at any point in time a loggedin user can export their account data from the account settings if the user wants to delete their account they can do so at httpsocialoutsourcedmathcomremoveme the deletion of the account will be permanent deletion of the data will also be requested from the nodes of the communication partners
282,335,social.outsourcedmath.com,β	When do we collect information?,β when do we collect information,English,β when do we collect information
283,336,social.outsourcedmath.com,"We collect information from you when you register on our site, respond to a non-anonymous survey, fill out a form specific to your identity, use Live Chat, or enter information on our site. Provide us with feedback on our products or services.",we collect information from you when you register on our site respond to a nonanonymous survey fill out a form specific to your identity use live chat or enter information on our site provide us with feedback on our products or services,English,we collect information from you when you register on our site respond to a nonanonymous survey fill out a form specific to your identity use live chat or enter information on our site provide us with feedback on our products or services
284,338,social.outsourcedmath.com,γ	How do we use your information?,γ how do we use your information,English,γ how do we use your information
285,339,social.outsourcedmath.com,"We may use the information we collect from you when you register, respond to a survey, surf the website, or use certain other site features in the following ways:",we may use the information we collect from you when you register respond to a survey surf the website or use certain other site features in the following ways,English,we may use the information we collect from you when you register respond to a survey surf the website or use certain other site features in the following ways
286,340,social.outsourcedmath.com,• To personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested.,to personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested,English,to personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested
287,341,social.outsourcedmath.com,• To allow us to better service you in responding to your customer service requests.,to allow us to better service you in responding to your customer service requests,English,to allow us to better service you in responding to your customer service requests
288,342,social.outsourcedmath.com,• To send periodic eMails regarding your usage or other products and services.,to send periodic emails regarding your usage or other products and services,English,to send periodic emails regarding your usage or other products and services
289,344,social.outsourcedmath.com,δ	How do we protect your information?,δ how do we protect your information,English,δ how do we protect your information
290,345,social.outsourcedmath.com,We do use vulnerability scanning and/or scanning to PCI standards. We only provide storage of your content and other information streams. We never ask for credit card numbers. We use regular Malware Scanning.,we do use vulnerability scanning andor scanning to pci standards we only provide storage of your content and other information streams we never ask for credit card numbers we use regular malware scanning,English,we do use vulnerability scanning andor scanning to pci standards we only provide storage of your content and other information streams we never ask for credit card numbers we use regular malware scanning
291,346,social.outsourcedmath.com,"Your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems, and are required to keep the information confidential. In addition, all sensitive information you supply is encrypted via Secure Socket Layer (SSL) technology.",your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems and are required to keep the information confidential in addition all sensitive information you supply is encrypted via secure socket layer ssl technology,English,your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems and are required to keep the information confidential in addition all sensitive information you supply is encrypted via secure socket layer ssl technology
292,347,social.outsourcedmath.com,"We implement a variety of security measures when a user enters, submits, or accesses their information to maintain the safety of your personal information.",we implement a variety of security measures when a user enters submits or accesses their information to maintain the safety of your personal information,English,we implement a variety of security measures when a user enters submits or accesses their information to maintain the safety of your personal information
293,349,social.outsourcedmath.com,ε	Do we use 'cookies'?,ε do we use cookies,non-Englsih,ε do we use cookies
294,350,social.outsourcedmath.com,"Yes. Cookies are small files that a site or its service provider transfers to your computer's hard drive through your Web browser (if you allow) that enables the site's or service provider's systems to recognize your browser and capture and remember certain information. For instance, we use cookies to help us remember and process the preferences you store. They are also used to help us understand your preferences based on previous or current site activity, which enables us to provide you with improved services. We also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future.",yes cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser if you allow that enables the sites or service providers systems to recognize your browser and capture and remember certain information for instance we use cookies to help us remember and process the preferences you store they are also used to help us understand your preferences based on previous or current site activity which enables us to provide you with improved services we also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future,English,yes cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser if you allow that enables the sites or service providers systems to recognize your browser and capture and remember certain information for instance we use cookies to help us remember and process the preferences you store they are also used to help us understand your preferences based on previous or current site activity which enables us to provide you with improved services we also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future
295,351,social.outsourcedmath.com,We use cookies to:,we use cookies to,non-Englsih,we use cookies to
296,352,social.outsourcedmath.com,• Understand and save user's preferences for future visits.,understand and save users preferences for future visits,English,understand and save users preferences for future visits
297,353,social.outsourcedmath.com,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies. You do this through your browser settings. Since each browser is a little different, look at your browser's Help Menu to learn the correct way to modify your cookies.",you can choose to have your computer warn you each time a cookie is being sent or you can choose to turn off all cookies you do this through your browser settings since each browser is a little different look at your browsers help menu to learn the correct way to modify your cookies,English,you can choose to have your computer warn you each time a cookie is being sent or you can choose to turn off all cookies you do this through your browser settings since each browser is a little different look at your browsers help menu to learn the correct way to modify your cookies
298,354,social.outsourcedmath.com,If users disable cookies in their browser:,if users disable cookies in their browser,English,if users disable cookies in their browser
299,355,social.outsourcedmath.com,• Some of the features that make your site experience more efficient may not function properly.,some of the features that make your site experience more efficient may not function properly,English,some of the features that make your site experience more efficient may not function properly
300,356,social.outsourcedmath.com,Third-party disclosure:,thirdparty disclosure,English,thirdparty disclosure
301,357,social.outsourcedmath.com,"• We do not sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information.",we do not sell trade or otherwise transfer to outside parties your personally identifiable information,English,we do not sell trade or otherwise transfer to outside parties your personally identifiable information
302,358,social.outsourcedmath.com,Third-party links:,thirdparty links,English,thirdparty links
303,359,social.outsourcedmath.com,• We do not include or offer third-party products or services on our website.,we do not include or offer thirdparty products or services on our website,English,we do not include or offer thirdparty products or services on our website
304,360,social.outsourcedmath.com,Google:,google,non-Englsih,google
305,361,social.outsourcedmath.com,• Google's advertising requirements can be summed up by Google's Advertising Principles.,googles advertising requirements can be summed up by googles advertising principles,English,googles advertising requirements can be summed up by googles advertising principles
306,362,social.outsourcedmath.com,• They are put in place to provide a positive experience for users.,they are put in place to provide a positive experience for users,English,they are put in place to provide a positive experience for users
307,363,social.outsourcedmath.com,• https://support.google.com/adwordspolicy/answer/1316548?hl=en,httpssupportgooglecomadwordspolicyanswer1316548hlen,English,httpssupportgooglecomadwordspolicyanswer1316548hlen
308,364,social.outsourcedmath.com,• We do not use Google AdSense Advertising on our website.,we do not use google adsense advertising on our website,non-Englsih,we do not use google adsense advertising on our website
309,365,social.outsourcedmath.com,We have implemented the following:,we have implemented the following,English,we have implemented the following
310,366,social.outsourcedmath.com,• California Online Privacy Protection Act,california online privacy protection act,English,california online privacy protection act
311,367,social.outsourcedmath.com,CalOPPA is the first state law in the nation to require commercial websites and online services to post a privacy policy. The law's reach stretches well beyond California to require any person or company in the United States (and conceivably the world) that operates websites collecting Personally Identifiable Information from California consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared. - See more at http://consumercal.org/california-online-privacy-protection-act-caloppa/#sthash.0FdRbT51.dpuf,caloppa is the first state law in the nation to require commercial websites and online services to post a privacy policy the laws reach stretches well beyond california to require any person or company in the united states and conceivably the world that operates websites collecting personally identifiable information from california consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared see more at httpconsumercalorgcaliforniaonlineprivacyprotectionactcaloppasthash0fdrbt51dpuf,English,caloppa is the first state law in the nation to require commercial websites and online services to post a privacy policy the laws reach stretches well beyond california to require any person or company in the united states and conceivably the world that operates websites collecting personally identifiable information from california consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared see more at httpconsumercalorgcaliforniaonlineprivacyprotectionactcaloppasthash0fdrbt51dpuf
312,368,social.outsourcedmath.com,"According to CalOPPA, we agree to the following:",according to caloppa we agree to the following,English,according to caloppa we agree to the following
313,369,social.outsourcedmath.com,• Users can visit our site anonymously.,users can visit our site anonymously,non-Englsih,users can visit our site anonymously
314,370,social.outsourcedmath.com,"• Once this privacy policy is created, we will add a link to it on our homepage or as a minimum, on the login page for entering our website.",once this privacy policy is created we will add a link to it on our homepage or as a minimum on the login page for entering our website,English,once this privacy policy is created we will add a link to it on our homepage or as a minimum on the login page for entering our website
315,371,social.outsourcedmath.com,• Our Privacy Policy link is identified by the words 'Terms of Service' and can easily be found on the https://social.outsourcedmath.com page by clicking the question mark icon at the top right corner of the site.,our privacy policy link is identified by the words terms of service and can easily be found on the httpssocialoutsourcedmathcom page by clicking the question mark icon at the top right corner of the site,English,our privacy policy link is identified by the words terms of service and can easily be found on the httpssocialoutsourcedmathcom page by clicking the question mark icon at the top right corner of the site
316,372,social.outsourcedmath.com,You will be notified of any Privacy Policy changes:,you will be notified of any privacy policy changes,English,you will be notified of any privacy policy changes
317,373,social.outsourcedmath.com,"• Via eMail, or an affirmation window during normal use of the site's services, or via the TOS page at this link https://social.outsourcedmath.com/tos",via email or an affirmation window during normal use of the sites services or via the tos page at this link httpssocialoutsourcedmathcomtos,English,via email or an affirmation window during normal use of the sites services or via the tos page at this link httpssocialoutsourcedmathcomtos
318,374,social.outsourcedmath.com,You can change your personal information:,you can change your personal information,English,you can change your personal information
319,375,social.outsourcedmath.com,• By logging in to your account and editing via the Profile sub-tab of your Home tab,by logging in to your account and editing via the profile subtab of your home tab,English,by logging in to your account and editing via the profile subtab of your home tab
320,376,social.outsourcedmath.com,• By chatting with us or by sending us a support request via eMail,by chatting with us or by sending us a support request via email,English,by chatting with us or by sending us a support request via email
321,378,social.outsourcedmath.com,ζ	How does our site handle Do Not Track signals?,ζ how does our site handle do not track signals,English,ζ how does our site handle do not track signals
322,379,social.outsourcedmath.com,"We honor Do Not Track signals and Do Not Track, plant cookies, or use advertising when a Do Not Track (DNT) browser mechanism is in place.",we honor do not track signals and do not track plant cookies or use advertising when a do not track dnt browser mechanism is in place,English,we honor do not track signals and do not track plant cookies or use advertising when a do not track dnt browser mechanism is in place
323,381,social.outsourcedmath.com,η	Does our site allow third-party behavioral tracking?,η does our site allow thirdparty behavioral tracking,English,η does our site allow thirdparty behavioral tracking
324,382,social.outsourcedmath.com,It's also important to note that we do not allow third-party behavioral tracking,its also important to note that we do not allow thirdparty behavioral tracking,English,its also important to note that we do not allow thirdparty behavioral tracking
325,383,social.outsourcedmath.com,COPPA (Children Online Privacy Protection Act),coppa children online privacy protection act,English,coppa children online privacy protection act
326,384,social.outsourcedmath.com,"When it comes to the collection of personal information from children under the age of 13 years old, the Children's Online Privacy Protection Act (COPPA) puts parents in control. The Federal Trade Commission, United States' consumer protection agency, enforces the COPPA Rule, which spells out what operators of websites and online services must do to protect children's privacy and safety online.",when it comes to the collection of personal information from children under the age of 13 years old the childrens online privacy protection act coppa puts parents in control the federal trade commission united states consumer protection agency enforces the coppa rule which spells out what operators of websites and online services must do to protect childrens privacy and safety online,English,when it comes to the collection of personal information from children under the age of 13 years old the childrens online privacy protection act coppa puts parents in control the federal trade commission united states consumer protection agency enforces the coppa rule which spells out what operators of websites and online services must do to protect childrens privacy and safety online
327,385,social.outsourcedmath.com,We do not specifically market to children under the age of 13 years old.,we do not specifically market to children under the age of 13 years old,English,we do not specifically market to children under the age of 13 years old
328,386,social.outsourcedmath.com,"We do not let third-parties, including ad networks or plug-ins, collect PII from children under 13.",we do not let thirdparties including ad networks or plugins collect pii from children under 13,English,we do not let thirdparties including ad networks or plugins collect pii from children under 13
329,388,social.outsourcedmath.com,θ	Fair Information Practices,θ fair information practices,English,θ fair information practices
330,389,social.outsourcedmath.com,The Fair Information Practices Principles form the backbone of privacy law in the United States and the concepts they include have played a significant role in the development of data protection laws around the globe. Understanding the Fair Information Practice Principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information.,the fair information practices principles form the backbone of privacy law in the united states and the concepts they include have played a significant role in the development of data protection laws around the globe understanding the fair information practice principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information,English,the fair information practices principles form the backbone of privacy law in the united states and the concepts they include have played a significant role in the development of data protection laws around the globe understanding the fair information practice principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information
331,390,social.outsourcedmath.com,"In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:",in order to be in line with fair information practices we will take the following responsive action should a data breach occur,English,in order to be in line with fair information practices we will take the following responsive action should a data breach occur
332,391,social.outsourcedmath.com,• We will notify you via eMail,we will notify you via email,English,we will notify you via email
333,392,social.outsourcedmath.com,• We will notify the users via in-site notification within 1 business day of our discovery of the breach,we will notify the users via insite notification within 1 business day of our discovery of the breach,English,we will notify the users via insite notification within 1 business day of our discovery of the breach
334,393,social.outsourcedmath.com,"We also agree to the Individual Redress Principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law. This principle requires not only that individuals have enforceable rights against data users, but also that individuals have recourse to courts or government agencies to investigate and/or prosecute non-compliance by data processors.",we also agree to the individual redress principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law this principle requires not only that individuals have enforceable rights against data users but also that individuals have recourse to courts or government agencies to investigate andor prosecute noncompliance by data processors,English,we also agree to the individual redress principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law this principle requires not only that individuals have enforceable rights against data users but also that individuals have recourse to courts or government agencies to investigate andor prosecute noncompliance by data processors
335,395,social.outsourcedmath.com,ι	CAN-SPAM Act,ι canspam act,non-Englsih,ι can spam act
336,396,social.outsourcedmath.com,"The CAN-SPAM Act is a law that sets the rules for commercial eMail, establishes requirements for commercial messages, gives recipients the right to have eMails stopped from being sent to them, and spells out tough penalties for violations.",the canspam act is a law that sets the rules for commercial email establishes requirements for commercial messages gives recipients the right to have emails stopped from being sent to them and spells out tough penalties for violations,English,the canspam act is a law that sets the rules for commercial email establishes requirements for commercial messages gives recipients the right to have emails stopped from being sent to them and spells out tough penalties for violations
337,397,social.outsourcedmath.com,We collect your email address in order to:,we collect your email address in order to,English,we collect your email address in order to
338,398,social.outsourcedmath.com,"• Send information, respond to inquiries, and/or other requests or questions",send information respond to inquiries andor other requests or questions,English,send information respond to inquiries andor other requests or questions
339,399,social.outsourcedmath.com,• Send you additional information related to your use of our service,send you additional information related to your use of our service,English,send you additional information related to your use of our service
340,400,social.outsourcedmath.com,"To be in accordance with CAN-SPAM, we agree to the following:",to be in accordance with canspam we agree to the following,English,to be in accordance with canspam we agree to the following
341,401,social.outsourcedmath.com,• Not use false or misleading subjects or eMail addresses.,not use false or misleading subjects or email addresses,English,not use false or misleading subjects or email addresses
342,402,social.outsourcedmath.com,• Identify the message as an advertisement in some reasonable way.,identify the message as an advertisement in some reasonable way,English,identify the message as an advertisement in some reasonable way
343,403,social.outsourcedmath.com,• Include the physical address of our business or site headquarters.,include the physical address of our business or site headquarters,English,include the physical address of our business or site headquarters
344,404,social.outsourcedmath.com,"• Monitor third-party eMail marketing services for compliance, if one is used.",monitor thirdparty email marketing services for compliance if one is used,English,monitor thirdparty email marketing services for compliance if one is used
345,405,social.outsourcedmath.com,• Honor opt-out/unsubscribe requests quickly.,honor optoutunsubscribe requests quickly,non-Englsih,honor opt out unsubscribe requests quickly
346,406,social.outsourcedmath.com,• Allow users to unsubscribe by using the link at the bottom of each eMail.,allow users to unsubscribe by using the link at the bottom of each email,English,allow users to unsubscribe by using the link at the bottom of each email
347,407,social.outsourcedmath.com,"If at any time you would like to unsubscribe from receiving future eMails, you can eMail us at:",if at any time you would like to unsubscribe from receiving future emails you can email us at,English,if at any time you would like to unsubscribe from receiving future emails you can email us at
348,408,social.outsourcedmath.com,"• social@outsourcedmath.com,",socialoutsourcedmathcom,English,socialoutsourcedmathcom
349,409,social.outsourcedmath.com,• or follow the instructions at the bottom of each eMail and we will promptly remove you from ALL correspondence.,or follow the instructions at the bottom of each email and we will promptly remove you from all correspondence,English,or follow the instructions at the bottom of each email and we will promptly remove you from all correspondence
350,411,social.outsourcedmath.com,ω	Contacting Us,ω contacting us,English,ω contacting us
351,412,social.outsourcedmath.com,"If there are any questions regarding this privacy policy, you may contact us using the information below.",if there are any questions regarding this privacy policy you may contact us using the information below,English,if there are any questions regarding this privacy policy you may contact us using the information below
352,413,social.outsourcedmath.com,OutsourcedMath Friendica Admin,outsourcedmath friendica admin,English,outsourcedmath friendica admin
353,414,social.outsourcedmath.com,206 Harrogate Square,206 harrogate square,non-Englsih,206 harrogate square
354,415,social.outsourcedmath.com,"Amherst, NY 14221-4046",amherst ny 142214046,English,amherst ny 142214046
355,416,social.outsourcedmath.com,United States,united states,English,united states
356,417,social.outsourcedmath.com,social@outsourcedmath.com,socialoutsourcedmathcom,English,socialoutsourcedmathcom
357,419,social.outsourcedmath.com,Last Edited on 2019-02-06,last edited on 20190206,English,last edited on 20190206
358,420,rcsocial.net,"Be kind to others.  Feel free to disagree, but do so respectfully.",be kind to others feel free to disagree but do so respectfully,English,be kind to others feel free to disagree but do so respectfully
359,421,rcsocial.net,"Actual attacks on the human dignity of another person (such as harassment, threats of violence, racism, intimidation, physical appearance, beliefs, etc.) are not tolerated.  This does NOT include expressing long-held religious beliefs outside of the context of any specific individual.",actual attacks on the human dignity of another person such as harassment threats of violence racism intimidation physical appearance beliefs etc are not tolerated this does not include expressing longheld religious beliefs outside of the context of any specific individual,English,actual attacks on the human dignity of another person such as harassment threats of violence racism intimidation physical appearance beliefs etc are not tolerated this does not include expressing longheld religious beliefs outside of the context of any specific individual
360,422,rcsocial.net,"Unjustly accusing another person of racism, bigotry, Nazism, and the like is an attack on their dignity and is unacceptable.",unjustly accusing another person of racism bigotry nazism and the like is an attack on their dignity and is unacceptable,English,unjustly accusing another person of racism bigotry nazism and the like is an attack on their dignity and is unacceptable
361,423,rcsocial.net,"Disallowed content:  commercial messages, all SPAM, and anything that could be considered NSFW (e.g. pornography).",disallowed content commercial messages all spam and anything that could be considered nsfw eg pornography,English,disallowed content commercial messages all spam and anything that could be considered nsfw eg pornography
362,424,rcsocial.net,English is preferred but not required.,english is preferred but not required,English,english is preferred but not required
363,425,uwu.social,"No illegal (in Germany, where this server is located), harmful, offensive, or fraudulent content.",no illegal in germany where this server is located harmful offensive or fraudulent content,English,no illegal in germany where this server is located harmful offensive or fraudulent content
364,426,uwu.social,No content in support of National Socialism (aka. Nazis).,no content in support of national socialism aka nazis,non-Englsih,no content in support of national socialism aka nazis
365,427,uwu.social,No copyrighted content or content that misappropriates the IP of others.,no copyrighted content or content that misappropriates the ip of others,English,no copyrighted content or content that misappropriates the ip of others
366,428,uwu.social,No viruses/malware/computer harming things.,no virusesmalwarecomputer harming things,English,no virusesmalwarecomputer harming things
367,429,uwu.social,No child pornography or jail bait.,no child pornography or jail bait,English,no child pornography or jail bait
368,430,uwu.social,"No accounts for the sole purpose of advertising, scraping, or spamming. This includes corporate accounts (exceptions may apply, you may ask over email before signing up).",no accounts for the sole purpose of advertising scraping or spamming this includes corporate accounts exceptions may apply you may ask over email before signing up,English,no accounts for the sole purpose of advertising scraping or spamming this includes corporate accounts exceptions may apply you may ask over email before signing up
369,431,uwu.social,"No automated/bot accounts that post pornography (porn bots from other instances are not blocked, but they are not permitted to sign up locally).",no automatedbot accounts that post pornography porn bots from other instances are not blocked but they are not permitted to sign up locally,English,no automatedbot accounts that post pornography porn bots from other instances are not blocked but they are not permitted to sign up locally
370,432,en.osm.town,Follow the instance Code of Conduct: https://en.osm.town/about,follow the instance code of conduct httpsenosmtownabout,English,follow the instance code of conduct httpsenosmtownabout
371,433,en.osm.town,Have fun,have fun,non-Englsih,have fun
372,434,mstdn.beer,お酒やコーラがまずくなるようなことはお控えくださいませ,お酒やコーラがまずくなるようなことはお控えくださいませ,non-Englsih,Please refrain from drinking alcohol and cola.
373,435,social.slat.org,"本站不容挑戰的最高指導原則：

本站很自由，內容大多可以自由發揮，只嚴禁將文字文件稱為 Word、DOC 或 DOCX，或將試算表稱為 Excel、XLS 或 XLSX，或將簡報稱為 PowerPoint 、PPT 或 PPTX。",本站不容挑戰的最高指導原則 本站很自由內容大多可以自由發揮只嚴禁將文字文件稱為 worddoc 或 docx或將試算表稱為 excelxls 或 xlsx或將簡報稱為 powerpoint ppt 或 pptx,non-Englsih,The highest guidance principle that this site cannot challenge this site is very free content. Most of the content can be freely exerted by only the text files WordDoc or DOCX or the trial table as Excelxls or XLSX or briefing as PowerPoint PPT or PPTX
374,436,social.slat.org,"請尊重所有使用者的立場。

不論你認同的是中華民國還是台灣，但它目前就是個主權獨立的國家。",請尊重所有使用者的立場 不論你認同的是中華民國還是台灣但它目前就是個主權獨立的國家,non-Englsih,"Please respect all users’s position, whether you agree with the Republic of China or Taiwan, but it is currently a country with sovereignty independence."
375,437,social.slat.org,請閱讀 Mastodon 使用說明：https://siaulian.wordpress.com/2021/01/14/mastodon-taiwan-user-guide/,請閱讀 mastodon 使用說明httpssiaulianwordpresscom20210114mastodontaiwanuserguide,non-Englsih,Please read Mastodon instructions
376,438,social.slat.org,"單純來丟廣告的殺無赦。

Accounts which only toot advertisements will be deleted without warning.",單純來丟廣告的殺無赦 accounts which only toot advertisements will be deleted without warning,English,單純來丟廣告的殺無赦 accounts which only toot advertisements will be deleted without warning
377,439,kopiti.am,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
378,440,kopiti.am,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
379,441,kopiti.am,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
380,442,kopiti.am,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
381,443,kopiti.am,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
382,444,kopiti.am,Soliciting should be behind a Content Warning or risk getting your account limited,soliciting should be behind a content warning or risk getting your account limited,English,soliciting should be behind a content warning or risk getting your account limited
383,445,kopiti.am,Don't be an asshole,dont be an asshole,English,dont be an asshole
